0	13	Еврокомисията	Еврокомисия	ORG	ORG-European-Commission
15	23	Пакистан	Пакистан	LOC	GPE-Pakistan
101	109	Пакистан	Пакистан	LOC	GPE-Pakistan
188	197	Асия Биби	Асия Биби	PER	PER-Asia-Bibi
247	267	Европейската комисия	Европейска комисия	ORG	ORG-European-Commission
328	332	Биби	Биби	PER	PER-Asia-Bibi
467	492	Върховния съд на Пакистан	Върховен съд на Пакистан	ORG	ORG-Supreme-Court-of-Pakistan
494	496	ЕС	ЕС	ORG	ORG-European-Union
515	524	Исламабад	Исламабад	LOC	GPE-Islamabad
638	641	БТА	БТА	ORG	ORG-Bulgarian-News-Agency
689	695	Белгия	Белгия	LOC	GPE-Belgium
696	710	Дидие Рейндерс	Дидие Рейндерс	PER	PER-Didier-Reynders
763	784	Нов фламандски алианс	Нов фламандски алианс	ORG	ORG-New-Flemish-Alliance
852	856	Биби	Биби	PER	PER-Asia-Bibi
879	882	САЩ	САЩ	LOC	GPE-USA
884	898	Великобритания	Великобритания	LOC	GPE-Great-Britain
903	909	Канада	Канада	LOC	GPE-Canada
