0	8	Холандия	Холандия	LOC	GPE-Holland
56	68	пакистанката	пакистанка	PER	GPE-Pakistan
69	78	Асия Биби	Асия Биби	PER	PER-Asia-Bibi
227	235	Пакистан	Пакистан	LOC	GPE-Pakistan
260	267	Ройтерс	Ройтерс	ORG	ORG-Reuters
272	284	Сайфул Мулок	Сайфул Мулок	PER	PER-Saif-Ul-Malook
299	308	Асия Биби	Асия Биби	PER	PER-Asia-Bibi
352	360	Холандия	Холандия	LOC	GPE-Holland
430	435	Мулок	Мулок	PER	PER-Saif-Ul-Malook
448	456	Холандия	Холандия	LOC	GPE-Holland
500	508	Пакистан	Пакистан	LOC	GPE-Pakistan
559	563	Биби	Биби	PER	PER-Asia-Bibi
607	633	Върховният съд на Пакистан	Върховен съд на Пакистан	ORG	ORG-Supreme-Court-of-Pakistan
854	879	пакистанския върховен съд	пакистански върховен съд	ORG	ORG-Supreme-Court-of-Pakistan
903	912	Асия Биби	Асия Биби	PER	PER-Asia-Bibi
1030	1039	Исламабад	Исламабад	LOC	GPE-Islamabad
1146	1161	Асошиейтед прес	Асошиейтед прес	ORG	ORG-AP-The-Associated-Press
1193	1197	Биби	Биби	PER	PER-Asia-Bibi
1228	1235	Пенджаб	Пенджаб	LOC	GPE-Punjab
1596	1603	Пенджаб	Пенджаб	LOC	GPE-Punjab
1719	1728	Исламабад	Исламабад	LOC	GPE-Islamabad
1837	1841	Биби	Биби	PER	PER-Asia-Bibi
1905	1913	Пакистан	Пакистан	LOC	GPE-Pakistan
1942	1946	Биби	Биби	PER	PER-Asia-Bibi
2093	2097	Биби	Биби	PER	PER-Asia-Bibi
2117	2125	Пакистан	Пакистан	LOC	GPE-Pakistan
2306	2310	Биби	Биби	PER	PER-Asia-Bibi
2373	2380	Мохамед	Мохамед	PER	PER-Prophet-Muhammad
2502	2509	Мохамед	Мохамед	PER	PER-Prophet-Muhammad
2513	2521	Пакистан	Пакистан	LOC	GPE-Pakistan
