0	8	Пакистан	Пакистан	LOC	GPE-Pakistan
33	42	Азия Биби	Азия Биби	PER	PER-Asia-Bibi
44	70	Върховният съд на Пакистан	Върховен съд на Пакистан	ORG	ORG-Supreme-Court-of-Pakistan
79	88	Азия Биби	Азия Биби	PER	PER-Asia-Bibi
275	279	Азия	Азия	PER	PER-Asia-Bibi
482	497	Светла Чалъкова	Светла Чалъкова	PER	PER-Svetla-Chalakova
500	508	Ватикана	Ватикана	LOC	GPE-Vatican
510	519	Азия Биби	Азия Биби	PER	PER-Asia-Bibi
566	592	Върховният съд на Пакистан	Върховен съд на Пакистан	ORG	ORG-Supreme-Court-of-Pakistan
792	796	Азия	Азия	PER	PER-Asia-Bibi
1006	1017	Юсеф Надиим	Юсеф Надиим	PER	PER-Joseph-Nadeem
1095	1135	Renaissance Education Foundation в Лахор	Renaissance Education Foundation в Лахор	ORG	ORG-Renaissance-Education-Foundation
1181	1190	Азия Биби	Азия Биби	PER	PER-Asia-Bibi
1260	1268	Итанвали	Итанвали	LOC	GPE-Ittanwali
1280	1287	Пунджаб	Пунджаб	LOC	GPE-Punjab
1395	1402	Мохамед	Мохамед	PER	PER-Prophet-Muhammad
1606	1616	Ейшам Асик	Ейшам Асик	PER	PER-Eisham-Ashiq
1652	1678	Помощ за страдащата Църква	Помощ за страдащата Църква	ORG	ORG-ACN-Aid-to-the-Church-in-Need
1801	1805	Азия	Азия	PER	PER-Asia-Bibi
1807	1817	Ашик Масих	Ашик Масих	PER	PER-Ashiq-Masih
2023	2031	Пакистан	Пакистан	LOC	GPE-Pakistan
2043	2047	Ашик	Ашик	PER	PER-Ashiq-Masih
2199	2203	Азия	Азия	PER	PER-Asia-Bibi
2525	2534	Исламабад	Исламабад	LOC	GPE-Islamabad
2724	2742	Кадим Хюсеин Ризви	Кадим Хюсеин Ризви	PER	PER-Khadim-Hussain-Rizvi
2772	2797	Техриик-е-Лабайк Пакистан	Техриик-е-Лабайк Пакистан	ORG	ORG-Tehreek-e-Labbaik-Pakistan
3007	3013	Годжра	Годжра	LOC	GPE-Gojra
3026	3040	Джоузеф Колони	Джоузеф Колони	PER	PER-Joseph-Colony
3154	3166	Сайфул Малук	Сайфул Малук	PER	PER-Saif-Ul-Malook
3206	3210	Азия	Азия	PER	PER-Asia-Bibi
3377	3381	Азия	Азия	PER	PER-Asia-Bibi
3546	3568	Върховния съд на Лахор	Върховен съд на Лахор	ORG	ORG-Lahore-High-Court
3595	3601	Мултан	Мултан	LOC	GPE-Multan
3662	3666	Азия	Азия	PER	PER-Asia-Bibi
3890	3893	Бог	Бог	PER	PER-God
3930	3939	Азия Биби	Азия Биби	PER	PER-Asia-Bibi
4017	4029	Сайфул Малук	Сайфул Малук	PER	PER-Saif-Ul-Malook
4054	4058	Азия	Азия	PER	PER-Asia-Bibi
4066	4074	Франциск	Франциск	PER	PER-Pope-Francis
4079	4087	Ватикана	Ватикана	LOC	GPE-Vatican
4113	4121	Франциск	Франциск	PER	PER-Pope-Francis
4144	4152	Ватикана	Ватикана	LOC	GPE-Vatican
4175	4184	Азия Биби	Азия Биби	PER	PER-Asia-Bibi
4202	4205	Рим	Рим	LOC	GPE-Rome
4232	4258	Помощ за страдащата Църква	Помощ за страдащата Църква	ORG	ORG-ACN-Aid-to-the-Church-in-Need
4270	4276	Ребека	Ребека	PER	PER-Rebecca-Bitrus
4311	4321	Боко Харам	Боко Харам	ORG	ORG-Boko-Haram
4380	4389	Азия Биби	Азия Биби	PER	PER-Asia-Bibi
4434	4444	Боко Харам	Боко Харам	ORG	ORG-Boko-Haram
4465	4471	Ребека	Ребека	PER	PER-Rebecca-Bitrus
4474	4483	Азия Биби	Азия Биби	PER	PER-Asia-Bibi
4761	4770	Азия Биби	Азия Биби	PER	PER-Asia-Bibi
4850	4855	Ейшам	Ейшам	PER	PER-Esham-Masih
4877	4888	Светия отец	Свят отец	PER	PER-Pope-Francis
4940	4946	Италия	Италия	LOC	GPE-Italy
5033	5038	Ейшам	Ейшам	PER	PER-Esham-Masih
5041	5051	Свети отче	Свят отец	PER	PER-Pope-Francis
5074	5078	Азия	Азия	PER	PER-Asia-Bibi
5080	5084	Ашик	Ашик	PER	PER-Ashiq-Masih
5119	5125	Христа	Христос	PER	PER-Jesus-Christ
