0	8	ПАКИСТАН	Пакистан	LOC	GPE-Pakistan
55	63	Ася Биби	Ася Биби	PER	PER-Asia-Bibi
80	83	Бог	Бог	PER	PER-God
124	127	Ася	Ася	PER	PER-Asia-Bibi
178	200	Върховният съд в Лахор	Върховен съд в Лахор	ORG	ORG-Lahore-High-Court
229	232	Ася	Ася	PER	PER-Asia-Bibi
442	445	Ася	Ася	PER	PER-Asia-Bibi
630	633	Ася	Ася	PER	PER-Asia-Bibi
667	680	Мамнун Хюсаин	Мамнун Хюсаин	PER	PER-Mamnoon-Hussain
788	796	Ася Биби	Ася Биби	PER	PER-Asia-Bibi
849	852	Бог	Бог	PER	PER-God
903	915	Сайфул Малук	Сайфул Малук	PER	PER-Saif-Ul-Malook
