0	2	ЕС	ЕС	ORG	ORG-European-Union
11	19	Пакистан	Пакистан	LOC	GPE-Pakistan
94	102	Пакистан	Пакистан	LOC	GPE-Pakistan
181	190	Асия Биби	Асия Биби	PER	PER-Asia-Bibi
240	260	Европейската комисия	Европейска комисия	ORG	ORG-European-Commission
323	327	Биби	Биби	PER	PER-Asia-Bibi
462	487	Върховния съд на Пакистан	Върховen съд на Пакистан	ORG	ORG-Supreme-Court-of-Pakistan
489	491	ЕС	ЕС	ORG	ORG-European-Union
510	519	Исламабад	Исламабад	LOC	GPE-Islamabad
671	677	Белгия	Белгия	LOC	GPE-Belgium
678	692	Дидие Рейндерс	Дидие Рейндерс	PER	PER-Didier-Reynders
745	766	Нов фламандски алианс	Нов фламандски алианс	ORG	ORG-New-Flemish-Alliance
834	838	Биби	Биби	PER	PER-Asia-Bibi
861	864	САЩ	САЩ	LOC	GPE-USA
866	880	Великобритания	Великобритания	LOC	GPE-Great-Britain
885	891	Канада	Канада	LOC	GPE-Canada
