160	175	Майкъл Айърлънд	Майкъл Айърлънд	PER	PER-Michael-Ireland
177	186	Исламабад	Исламабад	LOC	GPE-Islamabad
188	196	Пакистан	Пакистан	LOC	GPE-Pakistan
198	221	ANS-ASSIST News Service	ANS-ASSIST News Service	ORG	ORG-Bibby-Financial-Services
234	242	Пакистан	Пакистан	LOC	GPE-Pakistan
366	378	Памела Гелер	Памела Гелер	PER	PER-Pamela-Geller
391	410	www.AtlasShrugs.com	www.AtlasShrugs.com	PRO	PRO-AtlasShrugs-site
431	500	Спрете ислямизацията на Америка: практическо ръководство за съпротива	Спрете ислямизацията на Америка: практическо ръководство за съпротива	PRO	PRO-Stop-the-Islamization-of-America-book
530	539	WND Books	WND Books	ORG	ORG-WND-Books
594	597	САЩ	САЩ	LOC	GPE-USA
629	645	American Thinker	American Thinker	PRO	PRO-American-Thinker
647	670	www.AmericanThinker.com	www.AmericanThinker.com	PRO	PRO-American-Thinker
759	765	Хюстън	Хюстън	LOC	GPE-Houston
811	817	Нашвил	Нашвил	LOC	GPE-Nashville
937	944	Америка	Америка	LOC	LOC-America
1043	1050	Америка	Америка	LOC	LOC-America
1083	1091	Ажа Биби	Ажа Биби	PER	PER-Asia-Bibi
1245	1254	Рождество	Рождество	EVT	EVT-Christmas
1267	1272	Гелер	Гелер	PER	PER-Pamela-Geller
1447	1450	Ажа	Ажа	PER	PER-Asia-Bibi
1511	1523	Ксавие Уилям	Ксавие Уилям	PER	PER-Xavier-William
1528	1533	Уилям	Уилям	PER	PER-Xavier-William
1573	1601	„Живот за всеки” в Исламабад	„Живот за всеки” в Исламабад	ORG	ORG-Life-For-All-Islamabad
1720	1728	Ажа Биби	Ажа Биби	PER	PER-Asia-Bibi
1829	1841	Памела Гелер	Памела Гелер	PER	PER-Pamela-Geller
1882	1890	Ажа Биби	Ажа Биби	PER	PER-Asia-Bibi
2259	2271	Памела Гелер	Памела Гелер	PER	PER-Pamela-Geller
2297	2305	Ажа Биби	Ажа Биби	PER	PER-Asia-Bibi
2884	2896	Памела Гелер	Памела Гелер	PER	PER-Pamela-Geller
2933	2941	Ажа Биби	Ажа Биби	PER	PER-Asia-Bibi
3111	3131	Районния съд в Лахор	Районен съд в Лахор	ORG	ORG-Lahore-District-Court
3148	3162	Живот за всеки	Живот за всеки	ORG	ORG-Life-For-All
3250	3270	Районния съд в Лахор	Районен съд в Лахор	ORG	ORG-Lahore-District-Court
3491	3495	Бога	Бог	PER	PER-God
3524	3536	Памела Гелер	Памела Гелер	PER	PER-Pamela-Geller
3577	3580	САЩ	САЩ	LOC	GPE-USA
3583	3591	Ажа Биби	Ажа Биби	PER	PER-Asia-Bibi
3666	3674	Пакистан	Пакистан	LOC	GPE-Pakistan
3790	3793	САЩ	САЩ	LOC	GPE-USA
3966	3978	Памела Гелер	Памела Гелер	PER	PER-Pamela-Geller
4041	4049	Ажа Биби	Ажа Биби	PER	PER-Asia-Bibi
4186	4198	Памела Гелер	Памела Гелер	PER	PER-Pamela-Geller
4254	4262	Ажа Биби	Ажа Биби	PER	PER-Asia-Bibi
4344	4352	Пакистан	Пакистан	LOC	GPE-Pakistan
4548	4560	Памела Гелер	Памела Гелер	PER	PER-Pamela-Geller
4599	4607	Пакистан	Пакистан	LOC	GPE-Pakistan
4620	4628	Ажа Биби	Ажа Биби	PER	PER-Asia-Bibi
5220	5225	Гелер	Гелер	PER	PER-Pamela-Geller
5236	5241	Уилям	Уилям	PER	PER-Xavier-William
5271	5274	Ажа	Ажа	PER	PER-Asia-Bibi
5285	5291	Алишба	Алишба	PER	PER-Alishba
5592	5599	Господа	Господ	PER	PER-God
5703	5710	Господа	Господ	PER	PER-God
5785	5788	Ажа	Ажа	PER	PER-Asia-Bibi
