66	74	Пакистан	Пакистан	LOC	GPE-Pakistan
149	157	Пакистан	Пакистан	LOC	GPE-Pakistan
280	289	Азия Биби	Азия Биби	PER	PER-Asia-Bibi
300	308	Би Би Си	Би Би Си	PRO	PRO-BBC
375	384	Исламабад	Исламабад	LOC	GPE-Islamabad
432	440	Пакистан	Пакистан	LOC	GPE-Pakistan
603	607	Биби	Биби	PER	PER-Asia-Bibi
812	824	Салман Тасир	Салман Тасир	PER	PER-Salmaan-Taseer
844	848	Биби	Биби	PER	PER-Asia-Bibi
850	855	Тасир	Тасир	PER	PER-Salmaan-Taseer
886	893	Пенджаб	Пенджаб	LOC	GPE-Punjab
924	933	Исламабад	Исламабад	LOC	GPE-Islamabad
969	978	Азия Биби	Азия Биби	PER	PER-Asia-Bibi
980	989	Азия Биби	Азия Биби	PER	PER-Asia-Bibi
1179	1186	Мохамед	Мохамед	PER	PER-Prophet-Muhammad
1552	1556	Биби	Биби	PER	PER-Asia-Bibi
1597	1604	Пенджаб	Пенджаб	LOC	GPE-Punjab
1795	1804	Азия Биби	Азия Биби	PER	PER-Asia-Bibi
1855	1875	Висшия съд в Пенджаб	Висш съд в Пенджаб	ORG	ORG-Supreme-Court-of-Pakistan
