0	26	Пакистанският Върховен съд	Пакистански Върховен съд	ORG	ORG-Supreme-Court-of-Pakistan
81	107	Пакистанският Върховен съд	Пакистански Върховен съд	ORG	ORG-Supreme-Court-of-Pakistan
320	327	Ройтерс	Ройтерс	ORG	ORG-Reuters
415	430	Асиф Саид Хосар	Асиф Саид Хосар	PER	PER-Asif-Saeed-Khan-Khosa
432	440	Ася Биби	Ася Биби	PER	PER-Asia-Bibi
699	703	Биби	Биби	PER	PER-Asia-Bibi
878	882	Биби	Биби	PER	PER-Asia-Bibi
1079	1090	Шафик Амини	Шафик Амини	PER	PER-Mohammad-Shafiq-Amini
1135	1150	Техрик-и Лабаик	Техрик-и Лабаик	ORG	ORG-Tehreek-e-Labbaik-Pakistan
1288	1292	Биби	Биби	PER	PER-Asia-Bibi
1372	1392	Амнести интернешънъл	Амнести интернешънъл	ORG	ORG-Amnesty-International
1762	1775	Римел Мохидин	Римел Мохидин	PER	PER-Rimmel-Mohydin
1794	1814	Амнести интернешънъл	Амнести интернешънъл	ORG	ORG-Amnesty-International
1819	1828	Южна Азия	Южна Азия	LOC	LOC-South-Asia
