123	137	Tehríke Labajk	Tehríke Labajk	ORG	ORG-Tehreek-e-Labbaik-Pakistan
139	142	TLP	TLP	ORG	ORG-Tehreek-e-Labbaik-Pakistan
191	203	Asii Bibiové	Asii Bibiová	PER	PER-Asia-Bibi
285	293	Mohameda	Mohamed	PER	PER-Prophet-Muhammad
322	329	Reuters	Reuters	ORG	ORG-Reuters
354	357	TLP	TLP	ORG	ORG-Tehreek-e-Labbaik-Pakistan
451	458	Bibiové	Bibiová	PER	PER-Asia-Bibi
661	668	Reuters	Reuters	ORG	ORG-Reuters
676	679	TLP	TLP	ORG	ORG-Tehreek-e-Labbaik-Pakistan
680	691	Ijaz Ašrafí	Ijaz Ašrafí	PER	PER-Ejaz-Ashrafi
720	732	Asia Bibiová	Asia Bibiová	PER	PER-Asia-Bibi
869	879	Háfiz Saíd	Háfiz Saíd	PER	PER-Hafiz-Muhammad-Saeed
889	902	Spojené státy	Spojené státy	LOC	GPE-USA
905	910	Indie	Indie	LOC	GPE-India
977	984	Bombaji	Bombaji	LOC	GPE-Mumbai
1185	1192	Bibiové	Bibiová	PER	PER-Asia-Bibi
