0	8	PÁKISTÁN	PÁKISTÁN	LOC	GPE-Pakistan
111	127	Mujeeb-ur-Rahman	Mujeeb-ur-Rahman	PER	PER-Mujeeb-ur-Rahman
186	194	Pakistan	Pakistan	LOC	GPE-Pakistan
197	216	The Weekly Standard	The Weekly Standard	PRO	PRO-The-Weekly-Standard-Magazine
244	255	Washingtonu	Washington	LOC	GPE-WashingtonDC
505	516	Pákistánkou	Pákistánka	PER	GPE-Pakistan
517	526	Asia Bibi	Asia Bibi	PER	PER-Asia-Bibi
857	864	Punjabu	Punjab	LOC	GPE-Punjab
1646	1654	Pákistán	Pákistán	LOC	GPE-Pakistan
1673	1687	New York Times	New York Times	PRO	PRO-The-New-York-Times
1711	1721	Musharrafa	Musharraf	PER	PER-Pervez-Musharraf
1914	1926	Mumtaz Qadri	Mumtaz Qadri	PER	PER-Mumtaz-Qadri
1968	1976	pundžabu	paňdžáb	LOC	GPE-Punjab
2219	2236	Mian Nazir Akhtar	Mian Nazir Akhtar	PER	PER-Mian-Nazir-Akhtar
2266	2272	Lahore	Lahore	LOC	GPE-Lahore
