0	7	Svoboda	Svoboda	PER	PER-Pavel-Svoboda
9	16	KDU-ČSL	KDU-ČSL	ORG	ORG-KDU-CSL-Czech-party
19	28	Asia Bibi	Asia Bibiová	PER	PER-Asia-Bibi
43	56	Pavel Svoboda	Pavel Svoboda	PER	PER-Pavel-Svoboda
83	104	Evropského parlamentu	Evropský parlament	ORG	ORG-European-Parliament
191	200	Asii Bibi	Asia Bibiová	PER	PER-Asia-Bibi
360	373	Pavel Svoboda	Pavel Svoboda	PER	PER-Pavel-Svoboda
402	406	Bibi	Bibiová	PER	PER-Asia-Bibi
425	427	EU	EU	ORG	ORG-European-Union
486	495	Pákistánu	Pákistán	LOC	GPE-Pakistan
517	527	Pákistánem	Pákistán	LOC	GPE-Pakistan
696	698	EU	EU	ORG	ORG-European-Union
846	859	Pavel Svoboda	Pavel Svoboda	PER	PER-Pavel-Svoboda
879	892	Pavla Svobody	Pavel Svoboda	PER	PER-Pavel-Svoboda
902	904	EP	EP	ORG	ORG-European-Parliament
908	917	trasburku	Štrasburk	LOC	GPE-Strasbourg
1194	1208	Miriam Ibrahim	Miriam Ibrahim	PER	PER-Miriam-Ibrahim
1306	1316	Pákistanky	Pákistánka	PER	GPE-Pakistan
1317	1326	Asia Bibi	Asia Bibiová	PER	PER-Asia-Bibi
1403	1412	Asia Bibi	Asia Bibiová	PER	PER-Asia-Bibi
1545	1554	Asia Bibi	Asia Bibiová	PER	PER-Asia-Bibi
1584	1586	EU	EU	ORG	ORG-European-Union
1612	1621	Pákistánu	Pákistán	LOC	GPE-Pakistan
1640	1649	Asie Bibi	Asia Bibiová	PER	PER-Asia-Bibi
1718	1727	Asia Bibi	Asia Bibiová	PER	PER-Asia-Bibi
1775	1777	EU	EU	ORG	ORG-European-Union
1841	1843	EU	EU	ORG	ORG-European-Union
1844	1853	Pákistánu	Pákistán	LOC	GPE-Pakistan
1909	1911	EU	EU	ORG	ORG-European-Union
1914	1924	Pakistánem	Pákistán	LOC	GPE-Pakistan
2079	2081	EU	EU	ORG	ORG-European-Union
2237	2239	EU	EU	ORG	ORG-European-Union
2311	2313	EU	EU	ORG	ORG-European-Union
