29	42	Ježíš Kristus	Ježíš Kristus	PER	PER-Jesus-Christ
162	171	František	František	PER	PER-Pope-Francis
207	220	Ježíše Krista	Ježíš Kristus	PER	PER-Jesus-Christ
272	278	Evropy	Evropa	LOC	LOC-Europe
290	298	Morselli	Morselli	PER	PER-Morseli-Father
343	350	Kristus	Kristus	PER	PER-Jesus-Christ
392	404	Asia Bibiová	Asia Bibiová	PER	PER-Asia-Bibi
466	477	Il Giornale	Il Giornale	PRO	PRO-IL-Giornale
518	531	Asiu Bibiovou	Asia Bibiová	PER	PER-Asia-Bibi
594	599	Vánoc	Vánoce	EVT	EVT-Christmas
650	656	Ježíše	Ježíš	PER	PER-Jesus-Christ
673	682	Asii Bibi	Asia Bibiová	PER	PER-Asia-Bibi
686	694	Vatikánu	Vatikán	LOC	GPE-Vatican
708	720	Asia Bibiová	Asia Bibiová	PER	PER-Asia-Bibi
844	852	Mohameda	Mohamed	PER	PER-Prophet-Muhammad
953	961	Mohameda	Mohamed	PER	PER-Prophet-Muhammad
