25	32	talibów	Talibowie	ORG	ORG-Taliban
63	82	Maulana Sami-ul-Hak	Maulan Sami-ul-Hak	PER	PER-Maulan-Sami-ul-Haq
100	107	talibów	Talibowie	ORG	ORG-Taliban
141	151	Rawalpindi	Rawalpindi	LOC	GPE-Rawalpindi
154	164	Pakistanie	Pakistan	LOC	GPE-Pakistan
265	274	Pakistanu	Pakistan	LOC	GPE-Pakistan
334	353	Maulana Hami-ul-Hak	Maulan Hami-ul-Hak	PER	PER-Maulan-Hami-ul-Haq
391	413	protest w Islamabadzie	protest w Islamabadzie	EVT	EVT-protest-Islamabad-against-freeing-Asia-Bibi
452	460	Asi Bibi	Asia Bibi	PER	PER-Asia-Bibi
642	656	Muhammad Bilal	Muhammad Bilal	PER	PER-Muhammad-Bilal
678	685	Reutera	Reuter	ORG	ORG-Reuters
841	861	Maulanę Sami ul-Haqa	Maulan Sami ul-Hak	PER	PER-Maulan-Sami-ul-Haq
1031	1038	talibów	Talibowie	ORG	ORG-Taliban
1229	1235	Omarem	Omar	PER	PER-Mullah-Omar
1237	1256	Maulana Sami-ul-Hak	Maulan Sami-ul-Hak	PER	PER-Maulan-Sami-ul-Haq
1300	1307	Senacie	Senat	ORG	ORG-Senate-Pakistan
1368	1375	talibów	Talibowie	ORG	ORG-Taliban
1440	1446	Omarem	Omar	PER	PER-Mullah-Omar
1462	1474	Afganistanem	Afganistan	LOC	GPE-Afghanistan
1495	1514	Maulana Sami-ul-Hak	Maulan Sami-ul-Hak	PER	PER-Maulan-Sami-ul-Haq
1565	1593	Dżamiat Ulema-e-Islam-Samiul	Dżamiat Ulema-e-Islam-Samiul	ORG	ORG-Jamiat-Ulema-e-Islam
1595	1600	JUI-S	JUI-S	ORG	ORG-Jamiat-Ulema-e-Islam
1644	1652	Pakistan	Pakistan	LOC	GPE-Pakistan
1653	1668	Tehreek-e-Insaf	Tehreek-e-Insaf	ORG	ORG-Tehreek-e-Insaf
1670	1673	PTI	PTI	ORG	ORG-Tehreek-e-Insaf
1684	1687	PAP	PAP	ORG	ORG-PAP-Polish-Press-Agency
1690	1693	EPA	EPA	ORG	ORG-EPA-European-Pressphoto-Agency
1696	1708	Arshad Arbab	Arshad Arbab	PER	PER-Arshad-Arbab
1735	1754	Maulana Sami-ul-Hak	Maulan Sami-ul-Hak	PER	PER-Maulan-Sami-ul-Haq
