29	37	Asi Bibi	Asia Bibi	PER	PER-Asia-Bibi
105	126	Amnesty International	Amnesty International	ORG	ORG-Amnesty-International
127	144	Draginja Nadażdin	Draginja Nadażdin	PER	PER-Draginja-Nadazdin
309	317	Nadażdin	Nadażdin	PER	PER-Draginja-Nadazdin
341	350	Pakistanu	Pakistan	LOC	GPE-Pakistan
497	506	Pakistanu	Pakistan	LOC	GPE-Pakistan
553	561	Nadażdin	Nadażdin	PER	PER-Draginja-Nadazdin
673	677	Bibi	Bibi	PER	PER-Asia-Bibi
711	719	Mahometa	Mahomet	PER	PER-Mahomet
741	751	Pakistanki	Pakistanka	PER	GPE-Pakistan
941	950	Asia Bibi	Asia Bibi	PER	PER-Asia-Bibi
988	995	Mahomet	Mahomet	PER	PER-Mahomet
1158	1166	Asi Bibi	Asia Bibi	PER	PER-Asia-Bibi
1178	1191	Sąd Najwyższy	Sąd Najwyższy	ORG	ORG-Supreme-Court-of-Pakistan
