0	9	Asia Bibi	Asia Bibi	PER	PER-Asia-Bibi
71	79	Kanadzie	Kanada	LOC	GPE-Canada
107	116	Asia Bibi	Asia Bibi	PER	PER-Asia-Bibi
153	161	Kanadzie	Kanada	LOC	GPE-Canada
204	213	Asia Bibi	Asia Bibi	PER	PER-Asia-Bibi
395	404	Pakistanu	Pakistan	LOC	GPE-Pakistan
580	590	Pakistanie	Pakistan	LOC	GPE-Pakistan
691	700	Asia Bibi	Asia Bibi	PER	PER-Asia-Bibi
745	754	Pakistanu	Pakistan	LOC	GPE-Pakistan
894	904	Pakistanie	Pakistan	LOC	GPE-Pakistan
961	991	Frankfurter Allgemeine Zeitung	Frankfurter Allgemeine Zeitung	PRO	PRO-Frankfurter-Allgemeine-Zeitung
1021	1030	Asia Bibi	Asia Bibi	PER	PER-Asia-Bibi
1050	1056	Kanady	Kanada	LOC	GPE-Canada
1143	1152	Pakistanu	Pakistan	LOC	GPE-Pakistan
1190	1198	Kanadzie	Kanada	LOC	GPE-Canada
1315	1321	Kanady	Kanada	LOC	GPE-Canada
1597	1605	Mahometa	Mahomet	PER	PER-Mahomet
1624	1634	Pakistanie	Pakistan	LOC	GPE-Pakistan
1774	1783	Asii Bibi	Asia Bibi	PER	PER-Asia-Bibi
1797	1807	Pakistanie	Pakistan	LOC	GPE-Pakistan
2133	2143	Pakistanie	Pakistan	LOC	GPE-Pakistan
