39	48	Pakistanu	Pakistan	LOC	GPE-Pakistan
50	59	Asia Bibi	Asia Bibi	PER	PER-Asia-Bibi
375	391	Sądu Najwyższego	Sąd Najwyższy	ORG	ORG-Supreme-Court-of-Pakistan
444	453	Pakistanu	Pakistan	LOC	GPE-Pakistan
492	501	Asii Bibi	Asia Bibi	PER	PER-Asia-Bibi
556	568	Rafała Cyfki	Rafał Cyfka	PER	PER-Rafal-Cyfka
902	911	Pakistanu	Pakistan	LOC	GPE-Pakistan
947	956	Asia Bibi	Asia Bibi	PER	PER-Asia-Bibi
1031	1047	Sądu Najwyższego	Sąd Najwyższy	ORG	ORG-Supreme-Court-of-Pakistan
1178	1189	Rafał Cyfka	Rafał Cyfka	PER	PER-Rafal-Cyfka
