28	36	Asi Bibi	Asia Bibi	PER	PER-Asia-Bibi
50	70	Parlament Europejski	Parlament Europejski	ORG	ORG-European-Parliament
93	104	Paweł Kowal	Paweł Kowal	PER	PER-Pawel-Kowal
223	234	Paweł Kowal	Paweł Kowal	PER	PER-Pawel-Kowal
367	381	Dominika Ćosić	Dominika Ćosić	PER	PER-Dominika-Cosic
409	415	Wprost	Wprost	PRO	PRO-Wprost
419	427	Brukseli	Bruksela	LOC	GPE-Brussles
461	469	Asi Bibi	Asia Bibi	PER	PER-Asia-Bibi
484	499	Polskiego Rządu	Polski Rząd	ORG	ORG-Polish-Government
501	506	Sejmu	Sejm	ORG	ORG-Sejm-of-the-Republic-of-Poland
509	515	Senatu	Senat	ORG	ORG-Senate-of-the-Republic-of-Poland
540	564	Parlamentu Europejskiego	Parlament Europejski	ORG	ORG-European-Parliament
636	644	Asi Bibi	Asia Bibi	PER	PER-Asia-Bibi
694	704	Pakistanie	Pakistan	LOC	GPE-Pakistan
720	744	Parlamentu Europejskiego	Parlament Europejski	ORG	ORG-European-Parliament
796	806	Pakistanie	Pakistan	LOC	GPE-Pakistan
937	957	Anne-Isabelle Tollet	Anne-Isabelle Tollet	PER	PER-Anne-Isabelle-Tollet
981	993	Bluźnierstwo	Bluźnierstwo	PRO	PRO-Blasphemy-Book-by-Anne-Isabelle-Tollet
1047	1056	Pakistanu	Pakistan	LOC	GPE-Pakistan
1057	1080	Asifa Aliego Zardariego	Asif Ali Zardari	PER	PER-Asif-Ali-Zardari
1112	1115	ONZ	ONZ	ORG	ORG-United-Nations
1116	1128	Ban Ki-moona	Ban Ki-moon	PER	PER-Ban-Ki-Moon
1161	1169	Asi Bibi	Asia Bibi	PER	PER-Asia-Bibi
1413	1423	Pakistanie	Pakistan	LOC	GPE-Pakistan
