0	16	Пакистанский суд	Пакистанский суд	ORG	ORG-Supreme-Court-of-Pakistan
69	75	Москва	Москва	LOC	GPE-Moscow
89	100	INTERFAX.RU	INTERFAX.RU	ORG	ORG-Interfax
142	151	Асию Биби	Асия Биби	PER	PER-Asia-Bibi
165	174	Пакистане	Пакистан	LOC	GPE-Pakistan
244	248	Биби	Биби	PER	PER-Asia-Bibi
250	262	Сайфул Малук	Сайфул Малук	PER	PER-Saif-Ul-Malook
323	346	Верховный суд Пакистана	Верховный суд Пакистана	ORG	ORG-Supreme-Court-of-Pakistan
373	377	Биби	Биби	PER	PER-Asia-Bibi
504	508	Биби	Биби	PER	PER-Asia-Bibi
623	632	Мухаммеда	Мухаммед	PER	PER-Prophet-Muhammad
736	740	Биби	Биби	PER	PER-Asia-Bibi
832	841	Пакистана	Пакистан	LOC	GPE-Pakistan
