2	11	Пакистане	Пакистан	LOC	GPE-Pakistan
70	79	Мухаммеде	Мухаммед	PER	PER-Prophet-Muhammad
87	96	Пакистане	Пакистан	LOC	GPE-Pakistan
135	144	Азии Биби	Азия Биби	PER	PER-Asia-Bibi
203	212	Мухаммеде	Мухаммед	PER	PER-Prophet-Muhammad
237	241	Биби	Биби	PER	PER-Asia-Bibi
374	383	Пакистана	Пакистан	LOC	GPE-Pakistan
397	405	Пенджаба	Пенджаб	LOC	GPE-Punjab
406	420	Салман Тасииар	Салман Тасииар	PER	PER-Salmaan-Taseer
451	464	Шахбаз Бхатти	Шахбаз Бхатти	PER	PER-Clement-Shahbaz-Bhatti
590	599	Азия Биби	Азия Биби	PER	PER-Asia-Bibi
695	704	Пакистане	Пакистан	LOC	GPE-Pakistan
