0	23	Верховный суд Пакистана	Верховный суд Пакистана	ORG	ORG-Supreme-Court-of-Pakistan
82	91	Пакистане	Пакистан	LOC	GPE-Pakistan
92	105	Верховный суд	Верховный суд	ORG	ORG-Supreme-Court-of-Pakistan
197	206	Асии Биби	Асия Биби	PER	PER-Asia-Bibi
392	406	Асиф Саид Хоса	Асиф Саид Хоса	PER	PER-Asif-Saeed-Khan-Khosa
431	435	Биби	Биби	PER	PER-Asia-Bibi
528	534	Европы	Европа	LOC	LOC-Europe
539	555	Северной Америки	Северная Америка	LOC	LOC-North-America
734	743	Мухаммеда	Мухаммед	PER	PER-Prophet-Muhammad
762	766	Биби	Биби	PER	PER-Asia-Bibi
1001	1005	Биби	Биби	PER	PER-Asia-Bibi
1067	1090	Верховный суд Пакистана	Верховный суд Пакистана	ORG	ORG-Supreme-Court-of-Pakistan
1122	1131	Асию Биби	Асия Биби	PER	PER-Asia-Bibi
1197	1201	Биби	Биби	PER	PER-Asia-Bibi
1283	1286	США	США	LOC	GPE-USA
1288	1302	Великобритании	Великобритания	LOC	GPE-Great-Britain
1307	1313	Канаде	Канада	LOC	GPE-Canada
1354	1367	Верховный суд	Верховный суд	ORG	ORG-Supreme-Court-of-Pakistan
1394	1402	Пакистан	Пакистан	LOC	GPE-Pakistan
