0	8	Пакистан	Пакистан	LOC	GPE-Pakistan
102	111	Азії Бібі	Азія Бібі	PER	PER-Asia-Bibi
314	352	Пакистанською християнською асоціацією	Пакистанська християнська асоціація	ORG	ORG-British-Pakistani-Christian-Association
397	411	Великобританії	Великобританія	LOC	GPE-Great-Britain
412	422	Терези Мей	Тереза Мей	PER	PER-Theresa-May
435	438	США	США	LOC	GPE-USA
439	454	Дональда Трампа	Дональд Трамп	PER	PER-Donald-Trump
467	473	Канади	Канада	LOC	GPE-Canada
474	488	Джастіна Трюдо	Джастін Трюдо	PER	PER-Justin-Trudeau
529	538	Пакистану	Пакистан	LOC	GPE-Pakistan
581	590	Пакистані	Пакистан	LOC	GPE-Pakistan
653	655	DW	DW	ORG	ORG-Deutsche-Welle
656	666	Ашіг Масіх	Ашіг Масіх	PER	PER-Ashiq-Masih
1120	1128	Пакистан	Пакистан	LOC	GPE-Pakistan
1131	1140	Азія Бібі	Азія Бібі	PER	PER-Asia-Bibi
1146	1159	Верховний суд	Верховний суд	ORG	ORG-Supreme-Court-of-Pakistan
1365	1389	Техрік-є-Лабаік Пакистан	Техрік-є-Лабаік Пакистан	ORG	ORG-Tehreek-e-Labbaik-Pakistan
1420	1435	Верховного суду	Верховний суд	ORG	ORG-Supreme-Court-of-Pakistan
1550	1552	AP	AP	ORG	ORG-AP-The-Associated-Press
1574	1592	пакистанський уряд	пакистанський уряд	ORG	ORG-Pakistani-Government
1695	1704	Азії Бібі	Азія Бібі	PER	PER-Asia-Bibi
1755	1764	Азія Бібі	Азія Бібі	PER	PER-Asia-Bibi
