9	20	Ема Хопкинс	Ема Хопкинс	PER	PER-Emma-Hopkins
47	54	Брезкит	Брекзит	EVT	EVT-Brexit
69	74	София	София	LOC	GPE-Sofia
133	135	ЕС	ЕС	ORG	ORG-European-Union
140	154	Великобритания	Великобритания	LOC	GPE-Great-Britain
210	229	Екатерина Захариева	Екатерина Захариева	PER	PER-Ekaterina-Zakharieva
277	284	Брекзит	Брекзит	EVT	EVT-Brexit
291	299	България	България	LOC	GPE-Bulgaria
378	383	Фокус	Фокус	ORG	ORG-Focus-News-Agency
394	403	Захариева	Захариева	PER	PER-Ekaterina-Zakharieva
459	461	ЕС	ЕС	ORG	ORG-European-Union
493	507	Великобритания	Великобритания	LOC	GPE-Great-Britain
513	520	Брезкит	Брекзит	EVT	EVT-Brexit
572	581	Захариева	Захариева	PER	PER-Ekaterina-Zakharieva
650	660	британците	британци	PER	GPE-Great-Britain
672	674	ЕС	ЕС	ORG	ORG-European-Union
780	794	Великобритания	Великобритания	LOC	GPE-Great-Britain
910	924	Великобритания	Великобритания	LOC	GPE-Great-Britain
1042	1051	Захариева	Захариева	PER	PER-Ekaterina-Zakharieva
1085	1099	Великобритания	Великобритания	LOC	GPE-Great-Britain
1102	1104	ЕС	ЕС	ORG	ORG-European-Union
1476	1490	Великобритания	Великобритания	LOC	GPE-Great-Britain
1520	1522	ЕС	ЕС	ORG	ORG-European-Union
1642	1649	Брекзит	Брекзит	EVT	EVT-Brexit
1753	1780	българското председателство	Българско председателство	EVT	EVT-Bulgarian-Presidency-EU
1791	1800	Захариева	Захариева	PER	PER-Ekaterina-Zakharieva
1878	1885	Брезкит	Брекзит	EVT	EVT-Brexit
1941	1956	Деница КИТАНОВА	Деница Китанова	PER	PER-Denitsa-Kitanova
