0	10	Франс прес	Франс прес	ORG	ORG-France-Presse
20	27	Брекзит	Брекзит	EVT	EVT-Brexit
65	71	Лондон	Лондон	LOC	GPE-London
74	76	ЕС	ЕС	ORG	ORG-European-Union
111	131	Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
135	151	Европейския съюз	Европейски съюз	ORG	ORG-European-Union
247	253	Лондон	Лондон	LOC	GPE-London
256	263	Брюксел	Брюксел	LOC	GPE-Brussles
282	284	ЕС	ЕС	ORG	ORG-European-Union
359	371	Мишел Барние	Мишел Барние	PER	PER-Michel-Barnier
601	603	ЕС	ЕС	ORG	ORG-European-Union
618	638	Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
752	754	ЕС	ЕС	ORG	ORG-European-Union
819	829	британците	британци	PER	GPE-Great-Britain
920	940	Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
1016	1022	Лондон	Лондон	LOC	GPE-London
1025	1032	Брюксел	Брюксел	LOC	GPE-Brussles
1207	1223	Северна Ирландия	Северна Ирландия	LOC	GPE-Northern-Ireland
1226	1244	Република Ирландия	Република Ирландия	LOC	GPE-Ireland
1315	1325	британците	британци	PER	GPE-Great-Britain
1456	1458	ЕС	ЕС	ORG	ORG-European-Union
1461	1477	Северна Ирландия	Северна Ирландия	LOC	GPE-Northern-Ireland
1666	1686	Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
1712	1729	Европейския съвет	Европейски съвет	ORG	ORG-European-Council
1730	1741	Доналд Туск	Доналд Туск	PER	PER-Donald-Tusk
1816	1825	европейци	европейци	PER	PER-Europe
1837	1857	Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
1872	1880	британци	британци	PER	GPE-Great-Britain
1892	1894	ЕС	ЕС	ORG	ORG-European-Union
1991	2005	Великобритания	Великобритания	LOC	GPE-Great-Britain
2052	2054	ЕС	ЕС	ORG	ORG-European-Union
2194	2201	Брекзит	Брекзит	EVT	EVT-Brexit
2213	2222	Флоренция	Флоренция	LOC	GPE-Florence
2255	2265	Тереза Мей	Тереза Мей	PER	PER-Theresa-May
2307	2309	ЕС	ЕС	ORG	ORG-European-Union
2348	2355	Брекзит	Брекзит	EVT	EVT-Brexit
2592	2598	Лондон	Лондон	LOC	GPE-London
2653	2655	ЕС	ЕС	ORG	ORG-European-Union
2722	2742	Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
2980	2990	Тереза Мей	Тереза Мей	PER	PER-Theresa-May
3070	3072	ЕС	ЕС	ORG	ORG-European-Union
3352	3368	лондонското Сити	Лондонско Сити	LOC	LOC-City-of-London
3463	3483	Европейската комисия	Европейска комисия	ORG	ORG-European-Commission
3665	3672	Брюксел	Брюксел	LOC	GPE-Brussles
3700	3720	Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
3752	3784	Световната търговска организация	Световна търговска организация	ORG	ORG-WTO-World-Trade-Organization
3823	3826	БТА	БТА	ORG	ORG-Bulgarian-News-Agency
