0	3	AFP	AFP	ORG	ORG-France-Presse
33	53	Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
75	84	Страсбург	Страсбург	LOC	GPE-Strasbourg
145	159	Великобритания	Великобритания	LOC	GPE-Great-Britain
179	195	Европейския съюз	Европейски съюз	ORG	ORG-European-Union
208	214	Лондон	Лондон	LOC	GPE-London
277	284	Брюксел	Брюксел	LOC	GPE-Brussles
323	344	Европейския парламент	Европейски парламент	ORG	ORG-European-Parliament
387	395	Politico	Politico	PRO	PRO-Politico
442	553	Проекторезолюция за приключване на дебата относно рамката на бъдещите отношения между ЕС и Обединеното кралство	Проекторезолюция за приключване на дебата относно рамката на бъдещите отношения между ЕС и Обединеното кралство	PRO	PRO-Draft-on-future-EU-UK-relations
584	586	ЕП	ЕП	ORG	ORG-European-Parliament
612	626	Великобритания	Великобритания	LOC	GPE-Great-Britain
726	728	ЕС	ЕС	ORG	ORG-European-Union
731	751	Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
776	783	Брюксел	Брюксел	LOC	GPE-Brussles
953	955	ЕС	ЕС	ORG	ORG-European-Union
1041	1043	ЕП	ЕП	ORG	ORG-European-Parliament
1081	1088	Брекзит	Брекзит	EVT	EVT-Brexit
1150	1157	Брюксел	Брюксел	LOC	GPE-Brussles
1160	1166	Лондон	Лондон	LOC	GPE-London
1205	1207	ЕП	ЕП	ORG	ORG-European-Parliament
1220	1227	Брекзит	Брекзит	EVT	EVT-Brexit
1262	1264	ЕС	ЕС	ORG	ORG-European-Union
1267	1281	Великобритания	Великобритания	LOC	GPE-Great-Britain
1324	1326	ЕП	ЕП	ORG	ORG-European-Parliament
1439	1446	Брекзит	Брекзит	EVT	EVT-Brexit
1467	1487	Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
1488	1494	Тереза	Тереза	PER	PER-Theresa-May
1516	1527	Меншън хаус	Меншън хаус	LOC	LOC-Mansion-House
1632	1652	Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
1718	1720	ЕП	ЕП	ORG	ORG-European-Parliament
1804	1820	Европейския съюз	Европейски съюз	ORG	ORG-European-Union
1833	1837	ЕАСТ	ЕАСТ	ORG	ORG-EFTA
1838	1841	ЕИП	ЕИП	ORG	ORG-EEA-European-Economic-Area
1863	1876	Тереза Герова	Тереза Герова	PER	PER-Theresa-Gerova
1878	1884	Лондон	Лондон	LOC	GPE-London
1916	1923	Брекзит	Брекзит	EVT	EVT-Brexit
1961	1971	Тереза Мей	Тереза Мей	PER	PER-Theresa-May
1998	2013	Huffington Post	Huffington Post	PRO	PRO-Huffington-Post
2085	2095	Тереза Мей	Тереза Мей	PER	PER-Theresa-May
2327	2341	консерваторите	консерватори	PER	ORG-Conservative-and-Unionist-Party-UK
2388	2404	Европейския съюз	Европейски съюз	ORG	ORG-European-Union
2551	2560	Евросъюза	Евросъюз	ORG	ORG-European-Union
2574	2577	Мей	Мей	PER	PER-Theresa-May
2824	2831	Брекзит	Брекзит	EVT	EVT-Brexit
2876	2883	Брекзит	Брекзит	EVT	EVT-Brexit
2949	2961	Юлиян Марков	Юлиян Марков	PER	PER-Yuliyan-Markov
2963	2969	Лондон	Лондон	LOC	GPE-London
2985	3001	Европейския съюз	Европейски съюз	ORG	ORG-European-Union
3050	3060	Тереза Мей	Тереза Мей	PER	PER-Theresa-May
3127	3139	Джереми Хънт	Джереми Хънт	PER	PER-Jeremy-Hunt
3171	3186	The Independent	The Independent	PRO	PRO-The-Independent
3274	3276	ЕС	ЕС	ORG	ORG-European-Union
3527	3529	ЕС	ЕС	ORG	ORG-European-Union
4006	4008	ЕС	ЕС	ORG	ORG-European-Union
4056	4068	Юлиян Марков	Юлиян Марков	PER	PER-Yuliyan-Markov
4070	4076	Лондон	Лондон	LOC	GPE-London
4115	4131	Майкъл Хезълтайн	Майкъл Хезълтайн	PER	PER-Michael-Haseltine
4176	4186	Тереза Мей	Тереза Мей	PER	PER-Theresa-May
4259	4275	Европейския съюз	Европейски съюз	ORG	ORG-European-Union
4314	4326	The Guardian	The Guardian	PRO	PRO-The-Guardian
4377	4380	Мей	Мей	PER	PER-Theresa-May
4435	4444	Хезълтайн	Хезълтайн	PER	PER-Michael-Haseltine
4505	4519	Великобритания	Великобритания	LOC	GPE-Great-Britain
4527	4529	ЕС	ЕС	ORG	ORG-European-Union
4575	4584	Хезълтайн	Хезълтайн	PER	PER-Michael-Haseltine
4606	4614	Observer	Observer	PRO	PRO-The-Observer
4627	4639	The Guardian	The Guardian	PRO	PRO-The-Guardian
4700	4714	Великобритания	Великобритания	LOC	GPE-Great-Britain
4751	4753	ЕС	ЕС	ORG	ORG-European-Union
4975	4985	Тереза Мей	Тереза Мей	PER	PER-Theresa-May
5005	5007	ЕС	ЕС	ORG	ORG-European-Union
