1	8	Гардиън	Гардиън	PRO	PRO-The-Guardian
26	33	Брекзит	Брекзит	EVT	EVT-Brexit
86	93	Брекзит	Брекзит	EVT	EVT-Brexit
154	166	The Guardiqn	The Guardian	PRO	PRO-The-Guardian
180	185	Фокус	Фокус	ORG	ORG-Focus-News-Agency
190	197	Брекзит	Брекзит	EVT	EVT-Brexit
262	269	Брекзит	Брекзит	EVT	EVT-Brexit
270	283	Дейвид Дейвис	Дейвид Дейвис	PER	PER-David-Davis
284	291	Брекзит	Брекзит	EVT	EVT-Brexit
371	377	Дейвис	Дейвис	PER	PER-David-Davis
642	656	Великобритания	Великобритания	LOC	GPE-Great-Britain
778	798	Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
974	981	Брекзит	Брекзит	EVT	EVT-Brexit
1308	1322	Великобритания	Великобритания	LOC	GPE-Great-Britain
1345	1347	ЕС	ЕС	ORG	ORG-European-Union
1396	1410	Великобритания	Великобритания	LOC	GPE-Great-Britain
1558	1578	Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
1831	1841	Тереза Мей	Тереза Мей	PER	PER-Theresa-May
2100	2116	Европейският съд	Европейски съд	ORG	ORG-European-Court-of-Justice
2146	2160	Великобритания	Великобритания	LOC	GPE-Great-Britain
2166	2173	Брекзит	Брекзит	EVT	EVT-Brexit
2274	2288	Великобритания	Великобритания	LOC	GPE-Great-Britain
2333	2335	ЕС	ЕС	ORG	ORG-European-Union
