10	22	консерватори	консерватори	PER	ORG-Conservative-and-Unionist-Party-UK
29	32	Мей	Мей	PER	PER-Theresa-May
72	74	ЕС	ЕС	ORG	ORG-European-Union
245	249	Смит	Смит	PER	PER-Iain-Duncan-Smith
269	280	Прити Пател	Прити Пател	PER	PER-Priti-Patel
405	419	Великобритания	Великобритания	LOC	GPE-Great-Britain
479	486	Брюксел	Брюксел	LOC	GPE-Brussles
508	510	ЕС	ЕС	ORG	ORG-European-Union
535	537	ЕС	ЕС	ORG	ORG-European-Union
558	561	Мей	Мей	PER	PER-Theresa-May
585	591	Лондон	Лондон	LOC	GPE-London
627	641	Великобритания	Великобритания	LOC	GPE-Great-Britain
993	1007	Великобритания	Великобритания	LOC	GPE-Great-Britain
1144	1151	Брекзит	Брекзит	EVT	EVT-Brexit
1153	1155	ЕС	ЕС	ORG	ORG-European-Union
1192	1199	Брекзит	Брекзит	EVT	EVT-Brexit
1317	1319	ЕС	ЕС	ORG	ORG-European-Union
