0	25	Законопроектът за Брекзит	Законопроект за Брекзит	PRO	PRO-Brexit-law-draft
54	74	британския парламент	британски парламент	ORG	ORG-British-Parlament
76	96	Камарата на общините	Камара на общините	ORG	ORG-House-of-Commons
139	153	Великобритания	Великобритания	LOC	GPE-Great-Britain
157	173	Европейския съюз	Европейски съюз	ORG	ORG-European-Union
184	191	Ройтерс	Ройтерс	ORG	ORG-Reuters
206	209	БТА	БТА	ORG	ORG-Bulgarian-News-Agency
252	272	британския парламент	британски парламент	ORG	ORG-British-Parlament
308	315	Ройтерс	Ройтерс	ORG	ORG-Reuters
372	382	Тереза Мей	Тереза Мей	PER	PER-Theresa-May
438	445	Брекзит	Брекзит	EVT	EVT-Brexit
455	475	Камарата на общините	Камара на общините	ORG	ORG-House-of-Commons
518	532	Великобритания	Великобритания	LOC	GPE-Great-Britain
536	552	Европейския съюз	Европейски съюз	ORG	ORG-European-Union
563	570	Ройтерс	Ройтерс	ORG	ORG-Reuters
585	588	БТА	БТА	ORG	ORG-Bulgarian-News-Agency
632	652	британския парламент	британски парламент	ORG	ORG-British-Parlament
