55	58	БНР	БНР	ORG	ORG-Bulgarian-National-Radio
100	113	Борис Джонсън	Борис Джонсън	PER	PER-Boris-Johnson
196	198	ЕС	ЕС	ORG	ORG-European-Union
255	257	ЕС	ЕС	ORG	ORG-European-Union
283	290	Брекзит	Брекзит	EVT	EVT-Brexit
327	341	Великобритания	Великобритания	LOC	GPE-Great-Britain
353	360	Джонсън	Джонсън	PER	PER-Boris-Johnson
407	415	британци	британци	PER	GPE-Great-Britain
450	452	ЕС	ЕС	ORG	ORG-European-Union
591	604	Борис Джонсън	Борис Джонсън	PER	PER-Boris-Johnson
634	636	ЕС	ЕС	ORG	ORG-European-Union
688	695	Брекзит	Брекзит	EVT	EVT-Brexit
703	710	Брекзит	Брекзит	EVT	EVT-Brexit
792	799	Брекзит	Брекзит	EVT	EVT-Brexit
860	874	Великобритания	Великобритания	LOC	GPE-Great-Britain
925	938	Борис Джонсън	Борис Джонсън	PER	PER-Boris-Johnson
1138	1145	Брекзит	Брекзит	EVT	EVT-Brexit
1174	1181	Джонсън	Джонсън	PER	PER-Boris-Johnson
1246	1256	Тереза Мей	Тереза Мей	PER	PER-Theresa-May
