11	44	Българското председателство на ЕС	Българско председателство на ЕС	EVT	EVT-Bulgarian-Presidency-EU
56	66	Тереза Мей	Тереза Мей	PER	PER-Theresa-May
104	112	България	България	LOC	GPE-Bulgaria
113	144	Българското европредседателство	Българско европредседателство	EVT	EVT-Bulgarian-Presidency-EU
175	185	Тереза Мей	Тереза Мей	PER	PER-Theresa-May
256	258	ЕС	ЕС	ORG	ORG-European-Union
264	271	Брекзит	Брекзит	EVT	EVT-Brexit
306	316	Тереза Мей	Тереза Мей	PER	PER-Theresa-May
351	353	ЕС	ЕС	ORG	ORG-European-Union
383	397	Великобритания	Великобритания	LOC	GPE-Great-Britain
476	507	българското европредседателство	Българско европредседателство	EVT	EVT-Bulgarian-Presidency-EU
508	522	Лиляна Павлова	Лиляна Павлова	PER	PER-Lilyana-Pavlova
528	538	Франс прес	Франс прес	ORG	ORG-France-Presse
554	556	ЕС	ЕС	ORG	ORG-European-Union
653	667	Великобритания	Великобритания	LOC	GPE-Great-Britain
748	762	Великобритания	Великобритания	LOC	GPE-Great-Britain
803	805	ЕС	ЕС	ORG	ORG-European-Union
900	906	Лондон	Лондон	LOC	GPE-London
943	953	Тереза Мей	Тереза Мей	PER	PER-Theresa-May
1043	1063	Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
1175	1182	Брекзит	Брекзит	EVT	EVT-Brexit
1208	1228	Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
1312	1319	Брекзит	Брекзит	EVT	EVT-Brexit
1743	1753	Тереза Мей	Тереза Мей	PER	PER-Theresa-May
1755	1769	Лиляна Павлова	Лиляна Павлова	PER	PER-Lilyana-Pavlova
1799	1806	Брекзит	Брекзит	EVT	EVT-Brexit
1837	1839	ЕС	ЕС	ORG	ORG-European-Union
1960	1970	Тереза Мей	Тереза Мей	PER	PER-Theresa-May
2006	2018	Доналд Тръмп	Доналд Тръмп	PER	PER-Donald-Trump
2037	2044	Брекзит	Брекзит	EVT	EVT-Brexit
2059	2066	Павлова	Павлова	PER	PER-Lilyana-Pavlova
