0	15	The Independent	The Independent	PRO	PRO-The-Independent
17	25	Ирландия	Ирландия	LOC	GPE-Ireland
75	81	Дъблин	Дъблин	LOC	GPE-Dublin
82	89	Белфаст	Белфаст	LOC	GPE-Belfast
121	137	Европейския съюз	Европейски съюз	ORG	ORG-European-Union
178	194	Северна Ирландия	Северна Ирландия	LOC	GPE-Northern-Ireland
217	233	Европейския съюз	Европейски съюз	ORG	ORG-European-Union
306	320	Великобритания	Великобритания	LOC	GPE-Great-Britain
340	358	Република Ирландия	Република Ирландия	LOC	GPE-Ireland
390	392	ЕС	ЕС	ORG	ORG-European-Union
424	441	Европейският съюз	Европейски съюз	ORG	ORG-European-Union
522	535	The Economist	The Economist	PRO	PRO-The-Economist
1031	1044	Разпети петък	Разпети петък	EVT	EVT-Good-Friday
1074	1076	ЕС	ЕС	ORG	ORG-European-Union
1181	1195	Великобритания	Великобритания	LOC	GPE-Great-Britain
1274	1284	Тереза Мей	Тереза Мей	PER	PER-Theresa-May
1342	1350	Ирландия	Ирландия	LOC	GPE-Ireland
1430	1440	Тереза Мей	Тереза Мей	PER	PER-Theresa-May
1484	1500	Северна Ирландия	Северна Ирландия	LOC	GPE-Northern-Ireland
1648	1662	Великобритания	Великобритания	LOC	GPE-Great-Britain
1740	1743	Мей	Мей	PER	PER-Theresa-May
1774	1781	Брекзит	Брекзит	EVT	EVT-Brexit
1783	1793	Тереза Мей	Тереза Мей	PER	PER-Theresa-May
2129	2145	Северна Ирландия	Северна Ирландия	LOC	GPE-Northern-Ireland
2167	2181	Великобритания	Великобритания	LOC	GPE-Great-Britain
2210	2226	Северна Ирландия	Северна Ирландия	LOC	GPE-Northern-Ireland
2302	2316	Великобритания	Великобритания	LOC	GPE-Great-Britain
2373	2380	Брекзит	Брекзит	EVT	EVT-Brexit
2440	2450	Тереза Мей	Тереза Мей	PER	PER-Theresa-May
2514	2528	Йонислав Дочев	Йонислав Дочев	PER	PER-Yonislav-Donchev
2530	2536	Лондон	Лондон	LOC	GPE-London
2560	2567	Брекзит	Брекзит	EVT	EVT-Brexit
2642	2649	Брекзит	Брекзит	EVT	EVT-Brexit
2713	2720	Брекзит	Брекзит	EVT	EVT-Brexit
2721	2734	Дейвид Дейвис	Дейвид Дейвис	PER	PER-David-Davis
2737	2744	Брекзит	Брекзит	EVT	EVT-Brexit
2824	2830	Дейвис	Дейвис	PER	PER-David-Davis
3095	3109	Великобритания	Великобритания	LOC	GPE-Great-Britain
3231	3251	Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
3427	3434	Брекзит	Брекзит	EVT	EVT-Brexit
3761	3775	Великобритания	Великобритания	LOC	GPE-Great-Britain
3798	3800	ЕС	ЕС	ORG	ORG-European-Union
3849	3863	Великобритания	Великобритания	LOC	GPE-Great-Britain
4011	4031	Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
