0	6	Mayová	Mayová	PER	PER-Theresa-May
76	83	brexitu	brexit	EVT	EVT-Brexit
85	99	Dolní sněmovna	Dolní sněmovna	ORG	ORG-House-of-Commons
100	120	britského parlamentu	britský parlament	ORG	ORG-British-Parlament
226	234	Británie	Británie	LOC	GPE-Great-Britain
237	239	EU	EU	ORG	ORG-European-Union
252	259	brexitu	brexit	EVT	EVT-Brexit
358	365	brexitu	brexit	EVT	EVT-Brexit
537	544	brexitu	brexit	EVT	EVT-Brexit
681	688	brexitu	brexit	EVT	EVT-Brexit
916	933	brexitovou dohodu	brexitová dohoda	PRO	PRO-Brexit-withdrawal-agreement
954	968	Evropskou unií	Evropská unie	ORG	ORG-European-Union
1142	1155	Evropské unie	Evropská unie	ORG	ORG-European-Union
