0	6	Airbus	Airbus	ORG	ORG-Airbus-SE
31	38	brexitu	brexit	EVT	EVT-Brexit
53	61	Británie	Británie	LOC	GPE-Great-Britain
121	127	Airbus	Airbus	ORG	ORG-Airbus-SE
163	177	Velké Británii	Velká Británie	LOC	GPE-Great-Britain
241	249	Británii	Británie	LOC	GPE-Great-Britain
299	313	Velké Británii	Velká Británie	LOC	GPE-Great-Britain
408	414	Filton	Filton	LOC	GPE-Filton
417	426	Broughton	Broughton	LOC	GPE-Broughton
484	490	Airbus	Airbus	ORG	ORG-Airbus-SE
492	500	Británie	Británie	LOC	GPE-Great-Britain
666	673	brexitu	brexit	EVT	EVT-Brexit
