25	41	TERESA STYLIŃSKA	Teresa Stylińska	PER	PER-Teresa-Stylińska
100	116	Wielkiego Piątku	Wielki Piątek	EVT	EVT-Good-Friday
176	194	Irlandii Północnej	Irlandia Północna	LOC	LOC-Irlends-countries
356	363	brexitu	Brexit	EVT	EVT-Brexit
375	392	Wielkiej Brytanii	Wielka Brytania	LOC	GPE-Great-Britain
421	429	Irlandii	Irlandia	LOC	GPE-Ireland
432	449	Unii Europejskiej	Unia Europejska	ORG	ORG-European-Union
483	498	Wielka Brytania	Wielka Brytania	LOC	GPE-Great-Britain
521	525	Unii	Unia	ORG	ORG-European-Union
550	567	Irlandię Północną	Irlandia Północna	LOC	LOC-Irlends-countries
571	589	Republiki Irlandii	Republika Irlandii	LOC	GPE-Ireland
841	850	Belfaście	Belfast	LOC	GPE-Belfast
859	877	Irlandii Północnej	Irlandia Północna	LOC	LOC-Irlends-countries
910	918	Irlandii	Irlandia	LOC	GPE-Ireland
921	938	Wielkiej Brytanii	Wielka Brytania	LOC	GPE-Great-Britain
