0	7	Kleiber	Kleiber	PER	PER-Michał-Kleiber
21	27	brexit	Brexit	EVT	EVT-Brexit
36	55	brytyjski parlament	Brytyjski Parlament	ORG	ORG-British-Parlament
89	93	Unii	Unia	ORG	ORG-European-Union
223	240	Wielkiej Brytanii	Wielka Brytania	LOC	GPE-Great-Britain
243	245	UE	UE	ORG	ORG-European-Union
313	321	brexitem	Brexit	EVT	EVT-Brexit
418	422	Unii	Unia	ORG	ORG-European-Union
525	534	Wspólnoty	Wspólnota	ORG	ORG-European-Union
549	561	Brytyjczyków	Brytyjczycy	PER	GPE-Great-Britain
748	765	Wielkiej Brytanii	Wielka Brytania	LOC	GPE-Great-Britain
918	926	brexicie	Brexit	EVT	EVT-Brexit
1082	1086	Unii	Unia	ORG	ORG-European-Union
1414	1418	Unię	Unia	ORG	ORG-European-Union
1455	1457	UE	UE	ORG	ORG-European-Union
1573	1580	brexitu	Brexit	EVT	EVT-Brexit
1751	1763	Partią Pracy	Partia Pracy	ORG	ORG-Labour-Party-UK
1863	1872	brexitowi	Brexit	EVT	EVT-Brexit
1892	1904	Brytyjczyków	Brytyjczycy	PER	GPE-Great-Britain
1970	1977	brexitu	Brexit	EVT	EVT-Brexit
2100	2117	Wielkiej Brytanii	Wielka Brytania	LOC	GPE-Great-Britain
2120	2124	Unii	Unia	ORG	ORG-European-Union
2213	2228	Wielka Brytania	Wielka Brytania	LOC	GPE-Great-Britain
2368	2376	brexicie	Brexit	EVT	EVT-Brexit
2553	2557	Unii	Unia	ORG	ORG-European-Union
2604	2621	Wielkiej Brytanii	Wielka Brytania	LOC	GPE-Great-Britain
2743	2761	Irlandii Północnej	Irlandia Północna	LOC	LOC-Irlends-countries
2774	2776	UE	UE	ORG	ORG-European-Union
2958	2962	Unii	Unia	ORG	ORG-European-Union
2965	2980	Wielka Brytanią	Wielka Brytanią	LOC	GPE-Great-Britain
3118	3122	Unii	Unia	ORG	ORG-European-Union
3324	3345	Partii Konserwatywnej	Partia Konserwatywna	ORG	ORG-Conservative-and-Unionist-Party-UK
3385	3397	Partii Pracy	Partia Pracy	ORG	ORG-Labour-Party-UK
3549	3557	brexicie	Brexit	EVT	EVT-Brexit
4078	4089	Theresy May	Theresa May	PER	PER-Theresa-May
4395	4417	Polskiej Akademii Nauk	Polska Akademia Nauk	ORG	ORG-PAN-Polish-Academy-of-Sciences
