0	8	Rosjanie	Rosjanie	PER	GPE-Russia
22	28	Brexit	Brexit	EVT	EVT-Brexit
31	39	Facebook	Facebook	PRO	PRO-Facebook
71	80	Facebooka	Facebook	PRO	PRO-Facebook
109	128	brytyjski parlament	Brytyjski Parlament	ORG	ORG-British-Parlament
305	311	Moskwy	Moskwa	LOC	GPE-Moscow
393	410	Wielkiej Brytanii	Wielka Brytania	LOC	GPE-Great-Britain
453	461	Facebook	Facebook	PRO	PRO-Facebook
652	675	brytyjskiego parlamentu	Brytyjski Parlament	ORG	ORG-British-Parlament
762	771	Facebooka	Facebook	PRO	PRO-Facebook
920	923	CIA	CIA	ORG	ORG-CIA-Central-Intelligence-Agency
1291	1314	brytyjskiego parlamentu	Brytyjski Parlament	ORG	ORG-British-Parlament
1315	1327	Simon Milner	Simon Milner	PER	PER-Simon-Milner
1338	1347	Facebooka	Facebook	PRO	PRO-Facebook
1364	1381	Wielkiej Brytanii	Wielka Brytania	LOC	GPE-Great-Britain
1389	1400	Facebookiem	Facebook	PRO	PRO-Facebook
1704	1727	brytyjskiego parlamentu	Brytyjski Parlament	ORG	ORG-British-Parlament
1728	1740	Simon Milner	Simon Milner	PER	PER-Simon-Milner
1751	1759	Facebook	Facebook	PRO	PRO-Facebook
