67	70	Мей	Мей	PER	PER-Theresa-May
73	80	Reuters	Reuters	ORG	ORG-Reuters
219	229	Терезі Мей	Тереза Мей	PER	PER-Theresa-May
372	382	Терезі Мей	Тереза Мей	PER	PER-Theresa-May
412	425	BrexitCentral	BrexitCentral	PRO	PRO-BrexitCentral
605	613	Євросоюз	Євросоюз	ORG	ORG-European-Union
647	653	Brexit	Brexit	EVT	EVT-Brexit
764	778	Великобританії	Великобританія	LOC	GPE-Great-Britain
779	789	Терези Мей	Тереза Мей	PER	PER-Theresa-May
825	831	Brexit	Brexit	EVT	EVT-Brexit
858	872	Великобританії	Великобританія	LOC	GPE-Great-Britain
879	889	Тереза Мей	Тереза Мей	PER	PER-Theresa-May
912	914	ЄС	ЄС	LOC	ORG-European-Union
1081	1083	ЄС	ЄС	LOC	ORG-European-Union
1158	1160	ЄС	ЄС	LOC	ORG-European-Union
1352	1370	Північної Ірландії	Північна Ірландія	LOC	GPE-Northern-Ireland
1372	1374	ЄС	ЄС	LOC	ORG-European-Union
1453	1468	Великобританією	Великобританія	LOC	GPE-Great-Britain
1471	1473	ЄС	ЄС	LOC	ORG-European-Union
1555	1569	Великобританії	Великобританія	LOC	GPE-Great-Britain
1640	1654	Великобританії	Великобританія	LOC	GPE-Great-Britain
1664	1671	Reuters	Reuters	ORG	ORG-Reuters
1672	1682	Тереза Мей	Тереза Мей	PER	PER-Theresa-May
