0	11	Koronawirus	koronawirus	EVT	EVT-Covid-19
14	23	Niemczech	Niemcy	LOC	GPE-Germany
139	145	Niemcy	Niemcy	LOC	GPE-Germany
231	234	TVP	TVP	PRO	PRO-TVP
237	246	Niemczech	Niemcy	LOC	GPE-Germany
247	258	Cezary Gmyz	Cezary Gmyz	PER	PER-Cezary-Gmyz
775	786	Cezary Gmyz	Cezary Gmyz	PER	PER-Cezary-Gmyz
881	888	Niemiec	Niemcy	LOC	GPE-Germany
1090	1103	Angelą Merkel	Angela Merkel	PER	PER-Angela-Merkel
1207	1216	Niemczech	Niemcy	LOC	GPE-Germany
1277	1299	Instytut Roberta Kocha	Instytut Roberta Kocha	ORG	ORG-Robert-Koch-Institute
1667	1670	TVP	TVP	PRO	PRO-TVP
