38	58	Ministerstwa Zdrowia	Ministerstwo Zdrowia	ORG	ORG-Ministry-of-Health-Poland
132	140	COVID-19	COVID-19	EVT	EVT-Covid-19
260	264	KPRM	KPRM	ORG	ORG-Office-of-the-Prime-Minister-Poland
298	313	Michał Dworczyk	Michał Dworczyk	PER	PER-Michał-Dworczyk
346	352	Polsce	Polska	LOC	GPE-Poland
373	381	COVID-19	COVID-19	EVT	EVT-Covid-19
689	697	Dworczyk	Dworczyk	PER	PER-Michał-Dworczyk
722	731	Radiu ZET	Radio ZET	PRO	PRO-RadioZET
965	973	COVID-19	COVID-19	EVT	EVT-Covid-19
1095	1099	KPRM	KPRM	ORG	ORG-Office-of-the-Prime-Minister-Poland
1240	1249	Warszawie	Warszawa	LOC	GPE-Warsaw
1305	1319	koronawirusowi	koronawirus	EVT	EVT-Covid-19
1376	1384	Dworczyk	Dworczyk	PER	PER-Michał-Dworczyk
1435	1441	Polski	Polska	LOC	GPE-Poland
1485	1493	COVID-19	COVID-19	EVT	EVT-Covid-19
1565	1569	KPRM	KPRM	ORG	ORG-Office-of-the-Prime-Minister-Poland
2313	2321	Dworczyk	Dworczyk	PER	PER-Michał-Dworczyk
