81	87	Polsce	Polska	LOC	GPE-Poland
220	228	COVID-19	COVID-19	EVT	EVT-Covid-19
275	291	Adam Niedzielski	Adam Niedzielski	PER	PER-Adam-Niedzielski
307	313	RMF FM	RMF FM	PRO	PRO-RMF
666	682	Adam Niedzielski	Adam Niedzielski	PER	PER-Adam-Niedzielski
999	1010	Niedzielski	Niedzielski	PER	PER-Adam-Niedzielski
1023	1050	Narodowego Funduszu Zdrowia	Narodowy Fundusz Zdrowia	ORG	ORG-National-Health-Fund-Poland
1125	1137	koronawirusa	koronawirus	EVT	EVT-Covid-19
1173	1202	Polskiego Związku Pływackiego	Polski Związek Pływacki	ORG	ORG-Polski-Związek-Pływacki
1513	1544	Głównego Inspektora Sanitarnego	Główny Inspektorat Sanitarny	ORG	ORG-Główny-Inspektorat-Sanitarny
1698	1714	Adam Niedzielski	Adam Niedzielski	PER	PER-Adam-Niedzielski
