26	32	Cookie	Cookie	PRO	PRO-Cookie
142	150	Германия	Германия	LOC	GPE-Germany
165	177	коронавируса	коронавирус	EVT	EVT-Covid-19
257	264	ковидом	ковид	EVT	EVT-Covid-19
285	297	коронавируса	коронавирус	EVT	EVT-Covid-19
430	438	Германии	Германия	LOC	GPE-Germany
453	465	коронавируса	коронавирус	EVT	EVT-Covid-19
501	507	ковида	ковид	EVT	EVT-Covid-19
933	941	BioNTech	BioNTech	ORG	ORG-BioNTech
942	951	Pfizerили	Pfizer	ORG	ORG-Pfizer
952	959	Moderna	Moderna	ORG	ORG-Moderna
975	977	ЕС	ЕС	ORG	ORG-European-Union
1001	1014	коронавирусом	коронавирус	EVT	EVT-Covid-19
1128	1136	COVID-19	COVID-19	EVT	EVT-Covid-19
1378	1380	ЕС	ЕС	ORG	ORG-European-Union
1505	1513	COVID-19	COVID-19	EVT	EVT-Covid-19
1617	1626	немецкого	немецкий	PER	GPE-Germany
1627	1655	Института имени Роберта Коха	Институт имени Роберта Коха	ORG	ORG-Robert-Koch-Institute
1657	1660	RKI	RKI	ORG	ORG-Robert-Koch-Institute
1709	1721	коронавируса	коронавирус	EVT	EVT-Covid-19
2267	2280	коронавирусом	коронавирус	EVT	EVT-Covid-19
2396	2447	Федеральном центре санитарного просвещения Германии	Федеральный центр санитарного просвещения Германии	ORG	ORG-Federal-Centre-for-Health-Education-Germany
2580	2592	Сергей Елкин	Сергей Елкин	PER	PER-Sergey-Elkin
2606	2619	коронавирусом	коронавирус	EVT	EVT-Covid-19
3798	3811	коронавирусом	коронавирус	EVT	EVT-Covid-19
3994	3999	ковид	ковид	EVT	EVT-Covid-19
4218	4230	коронавируса	коронавирус	EVT	EVT-Covid-19
4346	4374	Института имени Роберта Коха	Институт имени Роберта Коха	ORG	ORG-Robert-Koch-Institute
4376	4379	RKI	RKI	ORG	ORG-Robert-Koch-Institute
4633	4645	коронавируса	коронавирус	EVT	EVT-Covid-19
