15	23	vlade RS	vlada RS	ORG	ORG-Government-of-Slovenia
27	35	Covid-19	Covid-19	EVT	EVT-Covid-19
36	47	Jelko Kacin	Jelko Kacin	PER	PER-Jelko-Kacin
84	96	koronavirusu	koronavirus	EVT	EVT-Covid-19
184	196	Jelka Kacina	Jelko Kacin	PER	PER-Jelko-Kacin
263	275	koronavirusa	koronavirus	EVT	EVT-Covid-19
305	310	Kacin	Kacin	PER	PER-Jelko-Kacin
350	362	koronavirusu	koronavirus	EVT	EVT-Covid-19
724	743	novim koronavirusom	novi koronavirus	EVT	EVT-Covid-19
810	815	Kacin	Kacin	PER	PER-Jelko-Kacin
1217	1229	koronavirusa	koronavirus	EVT	EVT-Covid-19
1754	1773	novega koronavirusa	novi koronavirus	EVT	EVT-Covid-19
2039	2048	Sloveniji	Slovenija	LOC	GPE-Slovenia
2568	2573	Kacin	Kacin	PER	PER-Jelko-Kacin
2808	2817	Slovenija	Slovenija	LOC	GPE-Slovenia
2915	2920	Kacin	Kacin	PER	PER-Jelko-Kacin
