9	17	covid 19	covid 19	EVT	EVT-Covid-19
29	38	Slovenijo	Slovenija	LOC	GPE-Slovenia
192	203	Janez Janša	Janez Janša	PER	PER-Janez-Janša
225	233	covid 19	covid 19	EVT	EVT-Covid-19
322	337	Žige Zaplotnika	Žiga Zaplotnik	PER	PER-Žiga-Zaplotnik
341	374	Fakultete za matematiko in fiziko	Fakulteta za matematiko in fiziko	LOC	ORG-Faculty-of-Mathematics-and-Physics-University-of-Ljubljana-Slovenia
376	396	Univerze v Ljubljani	Univerza v Ljubljani	ORG	ORG-University-of-Ljubljana
414	433	Covid-19 Sledilnika	Covid-19 Sledilnik	PRO	PRO-Covid-19-Tracker-Slovenia
456	481	Mladi zdravniki Slovenije	Mladi zdravniki Slovenije	ORG	ORG-Mladi-zdravniki-Slovenije
670	678	covid 19	covid 19	EVT	EVT-Covid-19
1086	1111	Mladi zdravniki Slovenije	Mladi zdravniki Slovenije	ORG	ORG-Mladi-zdravniki-Slovenije
1202	1211	Slovencev	Slovenci	PER	GPE-Slovenia
