30	38	covid-19	covid-19	EVT	EVT-Covid-19
426	431	Večer	Večer	PRO	PRO-Večer
456	470	Jure Srebrović	Jure Srebrović	PER	PER-Jure-Srebrović
474	487	Bukovske vasi	Bukovska vas	LOC	GPE-Bukovska-vas
596	636	Centru za usposabljanje, delo in varstvo	Center za usposabljanje, delo in varstvo	ORG	ORG-Center-za-usposabljanje-delo-in-varstvo-Črna-na-Koroškem
638	642	CUDV	CUDV	ORG	ORG-Center-za-usposabljanje-delo-in-varstvo-Črna-na-Koroškem
644	660	Črna na Koroškem	Črna na Koroškem	LOC	GPE-Črna-na-Koroškem
814	823	CUDV Črna	CUDV Črna	ORG	ORG-Center-za-usposabljanje-delo-in-varstvo-Črna-na-Koroškem
939	947	Katarina	Katarina	PER	PER-Katarina-Srebrović
1086	1100	Jure Srebrović	Jure Srebrović	PER	PER-Jure-Srebrović
1438	1446	Katarino	Katarina	PER	PER-Katarina-Srebrović
1621	1629	Katarino	Katarina	PER	PER-Katarina-Srebrović
1911	1915	CUDV	CUDV	ORG	ORG-Center-za-usposabljanje-delo-in-varstvo-Črna-na-Koroškem
2210	2219	CUDV Črna	CUDV Črna	ORG	ORG-Center-za-usposabljanje-delo-in-varstvo-Črna-na-Koroškem
2709	2718	CUDV Črna	CUDV Črna	ORG	ORG-Center-za-usposabljanje-delo-in-varstvo-Črna-na-Koroškem
2719	2733	Dalja Pečovnik	Dalja Pečovnik	PER	PER-Dalja-Pečovnik
2807	2811	CUDV	CUDV	ORG	ORG-Center-za-usposabljanje-delo-in-varstvo-Črna-na-Koroškem
3533	3544	Pečovnikova	Pečovnik	PER	PER-Dalja-Pečovnik
4414	4423	CUDV Črna	CUDV Črna	ORG	ORG-Center-za-usposabljanje-delo-in-varstvo-Črna-na-Koroškem
4549	4612	ministrstva za delo, družino, socialne zadeve in enake možnosti	ministrstvo za delo, družino, socialne zadeve in enake možnosti	ORG	ORG-Ministry-of-labour,family,-social-affairs-and-equal-opportunities-Slovenia
5804	5840	16. člena zakona o socialnem varstvu	16. člen zakona o socialnem varstvu	PRO	PRO-Article-16-Social-Assistance-Act
