261	268	Рейтинг	Рейтинг	ORG	ORG-Rating-Sociology-group-Ukraine
318	331	коронавірусом	коронавірус	EVT	EVT-Covid-19
612	620	Степанов	Степанов	PER	PER-Maksym-Stepanov
1069	1077	COVID-19	COVID-19	EVT	EVT-Covid-19
1629	1636	Україні	Україна	LOC	GPE-Ukraine
1693	1700	Україні	Україна	LOC	GPE-Ukraine
1724	1737	коронавірусом	коронавірус	EVT	EVT-Covid-19
1814	1817	МОЗ	МОЗ	ORG	ORG-Ministry-of-Healthcare-Ukraine
1818	1833	Максим Степанов	Максим Степанов	PER	PER-Maksym-Stepanov
1865	1872	Україні	Україна	LOC	GPE-Ukraine
1899	1911	коронавірусу	коронавірус	EVT	EVT-Covid-19
1912	1920	COVID-19	COVID-19	EVT	EVT-Covid-19
1992	2007	Максим Степанов	Максим Степанов	PER	PER-Maksym-Stepanov
2021	2028	Україні	Україна	LOC	GPE-Ukraine
2210	2221	коронавірус	коронавірус	EVT	EVT-Covid-19
