0	8	Euronews	Euronews	PRO	PRO-Euronews
10	25	Герхард Шрьодер	Герхард Шрьодер	PER	PER-Gerhard-Fritz-Kurt-Schröder
39	41	ЕС	ЕС	ORG	ORG-European-Union
44	47	САЩ	САЩ	LOC	GPE-USA
75	84	Вашингтон	Вашингтон	LOC	GPE-WashingtonDC
85	91	Берлин	Берлин	LOC	GPE-Berlin
113	116	САЩ	САЩ	LOC	GPE-USA
117	129	Доналд Тръмп	Доналд Тръмп	PER	PER-Donald-Trump
151	159	Германия	Германия	LOC	GPE-Germany
195	210	Северен поток 2	Северен поток 2	PRO	PRO-Nord-Stream-2
327	350	The Wall Street Journal	The Wall Street Journal	PRO	PRO-Wall-Street-Journal
454	463	Белия дом	Белия дом	LOC	LOC-White-House
488	491	ФРГ	ФРГ	LOC	GPE-Germany
492	505	Ангела Меркел	Ангела Меркел	PER	PER-Angela-Merkel
510	516	Берлин	Берлин	LOC	GPE-Berlin
540	557	„Северен поток 2“	Северен поток 2	PRO	PRO-Nord-Stream-2
619	625	Европа	Европа	LOC	LOC-Europe
631	645	Балтийско море	Балтийско море	LOC	LOC-Baltic-Sea
656	665	Вашингтон	Вашингтон	LOC	GPE-WashingtonDC
697	713	Европейския съюз	Европейски съюз	ORG	ORG-European-Union
781	790	Белия дом	Белия дом	LOC	LOC-White-House
922	928	Европа	Европа	LOC	LOC-Europe
931	934	САЩ	САЩ	LOC	GPE-USA
981	989	Германия	Германия	LOC	GPE-Germany
1113	1125	Доналд Тръмп	Доналд Тръмп	PER	PER-Donald-Trump
1205	1213	Германия	Германия	LOC	GPE-Germany
1350	1365	Северен поток 2	Северен поток 2	PRO	PRO-Nord-Stream-2
1462	1467	Тръмп	Тръмп	PER	PER-Donald-Trump
1468	1474	Меркел	Меркел	PER	PER-Angela-Merkel
1563	1577	Сандра Оуткирк	Сандра Оуткирк	PER	PER-Sandra-Oudkirk
1602	1608	Берлин	Берлин	LOC	GPE-Berlin
1751	1757	Кремъл	Кремъл	LOC	LOC-Kremlin
1814	1831	Руската федерация	Руска федерация	LOC	GPE-Russia
1832	1846	Дмитрий Песков	Дмитрий Песков	PER	PER-Dmitry-Peskov
1870	1873	САЩ	САЩ	LOC	GPE-USA
2035	2044	Вашингтон	Вашингтон	LOC	GPE-WashingtonDC
2091	2098	Украйна	Украйна	LOC	GPE-Ukraine
2230	2238	Германия	Германия	LOC	GPE-Germany
2258	2261	САЩ	САЩ	LOC	GPE-USA
2286	2291	Русия	Русия	LOC	GPE-Russia
2335	2341	Европа	Европа	LOC	LOC-Europe
2529	2535	Меркел	Меркел	PER	PER-Angela-Merkel
2619	2622	САЩ	САЩ	LOC	GPE-USA
2736	2745	Вашингтон	Вашингтон	LOC	GPE-WashingtonDC
2776	2778	ЕС	ЕС	ORG	ORG-European-Union
2827	2832	Тръмп	Тръмп	PER	PER-Donald-Trump
2885	2900	Северен поток 2	Северен поток 2	PRO	PRO-Nord-Stream-2
2947	2953	Европа	Европа	LOC	LOC-Europe
2974	2982	Германия	Германия	LOC	GPE-Germany
3003	3016	Тереза Герова	Тереза Герова	PER	PER-Tereza-Gerova
