18	26	Германия	Германия	LOC	GPE-Germany
36	51	Северен поток 2	Северен поток 2	PRO	PRO-Nord-Stream-2
516	525	Порошенко	Порошенко	PER	PER-Petro-Poroshenko
657	672	Северен поток 2	Северен поток 2	PRO	PRO-Nord-Stream-2
725	730	Русия	Русия	LOC	GPE-Russia
767	782	Северен поток 2	Северен поток 2	PRO	PRO-Nord-Stream-2
830	847	Руската федерация	Руска федерация	LOC	GPE-Russia
913	920	Украйна	Украйна	LOC	GPE-Ukraine
1013	1020	Украйна	Украйна	LOC	GPE-Ukraine
1119	1134	Северен поток 2	Северен поток 2	PRO	PRO-Nord-Stream-2
1137	1146	Порошенко	Порошенко	PER	PER-Petro-Poroshenko
1186	1193	Украйна	Украйна	LOC	GPE-Ukraine
1290	1305	Северен поток 2	Северен поток 2	PRO	PRO-Nord-Stream-2
