1	8	Газпром	Газпром	ORG	ORG-Gazprom
21	36	Северен поток-2	Северен поток 2	PRO	PRO-Nord-Stream-2
128	135	Газпром	Газпром	ORG	ORG-Gazprom
253	269	Nord Stream 2 AG	Nord Stream 2 AG	ORG	ORG-Nord-Stream-2-AG
311	321	Glas Trust	Glas Trust	ORG	ORG-Glas-Trust-Company
331	340	Комерсант	Комерсант	PRO	PRO-Kommersant
407	414	Газпром	Газпром	ORG	ORG-Gazprom
753	768	Северен поток-2	Северен поток 2	PRO	PRO-Nord-Stream-2
816	822	CAATSA	CAATSA	PRO	PRO-CAATSA-Bill
868	875	Газпром	Газпром	ORG	ORG-Gazprom
899	904	Shell	Shell	ORG	ORG-Royal-Dutch-Shell-BG-Group
906	911	Engie	Engie	ORG	ORG-Engie
913	919	Uniper	Uniper	ORG	ORG-Uniper
921	932	Wintershall	Wintershall	ORG	ORG-Wintershall
935	938	OMV	OMV	ORG	ORG-OMV
1165	1180	Северен поток-2	Северен поток 2	PRO	PRO-Nord-Stream-2
1243	1253	Glas Trust	Glas Trust	ORG	ORG-Glas-Trust-Company
1267	1277	британците	британци	PER	GPE-Great-Britain
1336	1352	Nord Stream 2 AG	Nord Stream 2 AG	ORG	ORG-Nord-Stream-2-AG
