0	5	Česko	Česko	LOC	GPE-Czech-Republic
52	65	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
67	73	Berlín	Berlín	LOC	GPE-Berlin
74	79	Praha	Praha	LOC	GPE-Prague
122	135	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
159	166	Německu	Německo	LOC	GPE-Germany
224	229	Česko	Česko	LOC	GPE-Czech-Republic
321	335	Baltského moře	Baltské moře	LOC	LOC-Baltic-Sea
338	343	Ruska	Rusko	LOC	GPE-Russia
347	354	Německa	Německo	LOC	GPE-Germany
424	432	Ukrajinu	Ukrajina	LOC	GPE-Ukraine
438	444	Polsko	Polsko	LOC	GPE-Poland
506	511	Česka	Česko	LOC	GPE-Czech-Republic
562	567	Eugal	Eugal	PRO	PRO-Eugal
669	682	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
691	705	Deutschneudorf	Deutschneudorf	LOC	GPE-Deutschneudorf
807	820	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
875	880	Eugal	Eugal	PRO	PRO-Eugal
893	898	Česko	Česko	LOC	GPE-Czech-Republic
934	941	Gascade	Gascade	ORG	ORG-Gascade
942	955	Reemt Bernert	Reemt Bernert	PER	PER-Reemt-Bernert
1112	1119	Bernert	Bernert	PER	PER-Reemt-Bernert
1162	1193	Meklenbursku-Předním Pomořansku	Meklenbursku-Přední Pomořansko	LOC	GPE-Mecklenburg-Vorpommern
1195	1206	Braniborsku	Braniborsko	LOC	GPE-Brandenburg
1209	1214	Sasku	Sasko	LOC	GPE-Saxony
