22	35	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
49	56	Trumpem	Trump	PER	PER-Donald-Trump
69	73	NATO	NATO	ORG	ORG-NATO
92	103	Nord Stream	Nord Stream	PRO	PRO-Nord-Stream-1
183	207	Severoatlantická aliance	Severoatlantická aliance	ORG	ORG-NATO
238	242	NATO	NATO	ORG	ORG-NATO
243	259	Jens Stoltenberg	Jens Stoltenberg	PER	PER-Jens-Stoltenberg
338	345	Německa	Německo	LOC	GPE-Germany
348	354	Ruskem	Rusko	LOC	GPE-Russia
422	434	Donald Trump	Donald Trump	PER	PER-Donald-Trump
448	452	NATO	NATO	ORG	ORG-NATO
506	517	Stoltenberg	Stoltenberg	PER	PER-Jens-Stoltenberg
552	558	Evropy	Evropa	LOC	LOC-Europe
758	763	Trump	Trump	PER	PER-Donald-Trump
796	808	Stoltenberga	Stoltenberg	PER	PER-Jens-Stoltenberg
835	842	Německa	Německo	LOC	GPE-Germany
899	906	Berlína	Berlín	LOC	GPE-Berlin
1027	1033	Ruskem	Rusko	LOC	GPE-Russia
1035	1041	Evropa	Evropa	LOC	LOC-Europe
1053	1060	Německo	Německo	LOC	GPE-Germany
1094	1099	Ruska	Rusko	LOC	GPE-Russia
1113	1116	USA	USA	LOC	GPE-USA
1137	1143	Ruskem	Rusko	LOC	GPE-Russia
1167	1172	Trump	Trump	PER	PER-Donald-Trump
1337	1348	Stoltenberg	Stoltenberg	PER	PER-Jens-Stoltenberg
