0	9	Bloomberg	Bloomberg	ORG	ORG-Bloomberg-LP
12	27	Nord Stream - 2	Nord Stream - 2	PRO	PRO-Nord-Stream-2
114	127	Spojené státy	Spojené státy	LOC	GPE-USA
173	187	North Stream-2	North Stream-2	PRO	PRO-Nord-Stream-2
204	219	Spojených států	Spojené státy	LOC	GPE-USA
268	274	Moskvy	Moskva	LOC	GPE-Moscow
298	310	Donald Trump	Donald Trump	PER	PER-Donald-Trump
325	332	Německo	Německo	LOC	GPE-Germany
357	362	Ruska	Rusko	LOC	GPE-Russia
434	441	Německo	Německo	LOC	GPE-Germany
538	547	Holandsku	Holandsko	LOC	GPE-Holland
567	572	Rusko	Rusko	LOC	GPE-Russia
631	638	Německu	Německo	LOC	GPE-Germany
674	679	Trump	Trump	PER	PER-Donald-Trump
727	740	Nord Stream-2	Nord Stream-2	PRO	PRO-Nord-Stream-2
757	764	Německa	Německo	LOC	GPE-Germany
788	793	Ruska	Rusko	LOC	GPE-Russia
831	838	Německo	Německo	LOC	GPE-Germany
908	913	Rusku	Rusko	LOC	GPE-Russia
946	949	USA	USA	LOC	GPE-USA
967	972	Rusku	Rusko	LOC	GPE-Russia
1015	1032	Spojených státech	Spojené státy	LOC	GPE-USA
1191	1197	Evropy	Evropa	LOC	LOC-Europe
1319	1324	Ruska	Rusko	LOC	GPE-Russia
1328	1334	Evropy	Evropa	LOC	LOC-Europe
1442	1458	Latinské Ameriky	Latinská Amerika	LOC	LOC-Latin-America
1483	1487	Asie	Asie	LOC	LOC-Asia
1545	1550	Čínou	Čína	LOC	GPE-China
1579	1594	Spojených států	Spojené státy	LOC	GPE-USA
