0	8	Naftogaz	Naftogaz	ORG	ORG-Naftogaz
36	41	Ruska	Rusko	LOC	GPE-Russia
71	76	Rusko	Rusko	LOC	GPE-Russia
89	97	Ukrajina	Ukrajina	LOC	GPE-Ukraine
320	328	Ukrajina	Ukrajina	LOC	GPE-Ukraine
421	426	Rusku	Rusko	LOC	GPE-Russia
536	544	Ukrajinu	Ukrajina	LOC	GPE-Ukraine
576	584	Vitrenko	Vitrenko	PER	PER-Yuriy-Vitrenko
609	623	Vladimir Putin	Vladimir Putin	PER	PER-Vladimir-Putin
643	656	Nord Stream-2	Nord Stream-2	PRO	PRO-Nord-Stream-2
696	704	Ukrajinu	Ukrajina	LOC	GPE-Ukraine
746	752	Evropy	Evropa	LOC	LOC-Europe
758	766	Ukrajinu	Ukrajina	LOC	GPE-Ukraine
782	789	Německo	Německo	LOC	GPE-Germany
805	811	Ruskem	Rusko	LOC	GPE-Russia
820	834	Nord Stream -2	Nord Stream -2	PRO	PRO-Nord-Stream-2
837	842	Rusko	Rusko	LOC	GPE-Russia
864	873	Ukrajinou	Ukrajina	LOC	GPE-Ukraine
921	927	Evropy	Evropa	LOC	LOC-Europe
979	987	Ukrajinu	Ukrajina	LOC	GPE-Ukraine
