2	24	ukrajinském parlamentu	ukrajinský parlament	ORG	ORG-Ukrainian-Parliament
25	32	Německu	Německo	LOC	GPE-Germany
65	78	Turecký proud	Turecký proud	PRO	PRO-Turkish-Stream
96	102	Kyjevu	Kyjev	LOC	GPE-Kiev
236	251	Nord Stream – 2	Nord Stream – 2	PRO	PRO-Nord-Stream-2
319	327	Ukrajina	Ukrajina	LOC	GPE-Ukraine
398	405	Německo	Německo	LOC	GPE-Germany
426	439	Nord Stream-2	Nord Stream-2	PRO	PRO-Nord-Stream-2
478	486	Ukrajiny	Ukrajina	LOC	GPE-Ukraine
539	562	Frank-Walter Steinmeier	Frank-Walter Steinmeier	PER	PER-Frank-Walter-Steinmeier
572	577	Kyjev	Kyjev	LOC	GPE-Kiev
604	610	Berlín	Berlín	LOC	GPE-Berlin
620	627	Německo	Německo	LOC	GPE-Germany
677	685	Ukrajinu	Ukrajina	LOC	GPE-Ukraine
773	786	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
801	809	Ukrajina	Ukrajina	LOC	GPE-Ukraine
913	920	Gopková	Gopková	PER	PER-Anna-Gopkova
931	944	Nord Stream-2	Nord Stream-2	PRO	PRO-Nord-Stream-2
1072	1077	Ruska	Rusko	LOC	GPE-Russia
1083	1095	Baltské moře	Baltské moře	LOC	LOC-Baltic-Sea
1099	1106	Německa	Německo	LOC	GPE-Germany
1125	1137	Nord Streamu	Nord Stream	PRO	PRO-Nord-Stream-1
1141	1155	Turkish Stream	Turkish Stream	PRO	PRO-Turkish-Stream
1263	1273	Černé moře	Černé moře	LOC	LOC-Black-Sea
1276	1281	Ruska	Rusko	LOC	GPE-Russia
1300	1307	Turecka	Turecko	LOC	GPE-Turkey
1314	1319	Rusko	Rusko	LOC	GPE-Russia
1332	1340	Tureckem	Turecko	LOC	GPE-Turkey
1368	1377	Bulharsko	Bulharsko	LOC	GPE-Bulgaria
