0	5	Løkke	Løkke	PER	PER-Lars-Lokke
7	13	Dánsko	Dánsko	LOC	GPE-Denmark
21	34	Nord Stream-2	Nord Stream-2	PRO	PRO-Nord-Stream-2
104	117	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
140	148	Ukrajinu	Ukrajina	LOC	GPE-Ukraine
157	173	Angela Merkelová	Angela Merkelová	PER	PER-Angela-Merkel
177	183	Dánsko	Dánsko	LOC	GPE-Denmark
221	234	Nord Stream-2	Nord Stream-2	PRO	PRO-Nord-Stream-2
317	325	Německem	Německo	LOC	GPE-Germany
373	393	Lars Løkke Rasmussen	Lars Løkke Rasmussen	PER	PER-Lars-Lokke
395	408	Nord Stream-2	Nord Stream-2	PRO	PRO-Nord-Stream-2
454	465	Nord Stream	Nord Stream	PRO	PRO-Nord-Stream-1
502	512	Petrohradu	Petrohrad	LOC	GPE-Saint-Petersburg
518	530	Severní moře	Severní moře	LOC	LOC-North-Sea
534	540	Evropy	Evropa	LOC	LOC-Europe
606	611	Rusko	Rusko	LOC	GPE-Russia
633	639	Evropy	Evropa	LOC	LOC-Europe
644	652	Ukrajiny	Ukrajina	LOC	GPE-Ukraine
716	724	Ukrajinu	Ukrajina	LOC	GPE-Ukraine
743	748	Rusko	Rusko	LOC	GPE-Russia
786	794	Ukrajinu	Ukrajina	LOC	GPE-Ukraine
854	860	Evropy	Evropa	LOC	LOC-Europe
863	869	Dánsko	Dánsko	LOC	GPE-Denmark
913	926	Nord Stream-2	Nord Stream-2	PRO	PRO-Nord-Stream-2
932	938	Dánsko	Dánsko	LOC	GPE-Denmark
1003	1009	Dánsko	Dánsko	LOC	GPE-Denmark
1053	1066	Nord Stream-2	Nord Stream-2	PRO	PRO-Nord-Stream-2
1095	1103	Ukrajinu	Ukrajina	LOC	GPE-Ukraine
1119	1139	Lars Løkke Rasmussen	Lars Løkke Rasmussen	PER	PER-Lars-Lokke
1150	1163	Nord Stream-2	Nord Stream-2	PRO	PRO-Nord-Stream-2
1184	1193	Salisbury	Salisbury	LOC	GPE-Salisbury
1203	1211	Ukrajině	Ukrajina	LOC	GPE-Ukraine
1270	1290	Lars Løkke Rasmussen	Lars Løkke Rasmussen	PER	PER-Lars-Lokke
1313	1322	Salisbury	Salisbury	LOC	GPE-Salisbury
1340	1353	Nord Stream-2	Nord Stream-2	PRO	PRO-Nord-Stream-2
