22	34	Nord Stream2	Nord Stream2	PRO	PRO-Nord-Stream-2
102	115	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
174	180	Polski	Polska	LOC	GPE-Poland
226	233	Komisji	Komisja	ORG	ORG-European-Commission
322	335	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
393	401	Euractiv	Euractiv	PRO	PRO-EURACTIV
404	412	Politico	Politico	PRO	PRO-Politico
414	427	Polskie Radio	Polskie Radio	PRO	PRO-Polish-Radio
495	508	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
567	573	Polski	Polska	LOC	GPE-Poland
619	626	Komisji	Komisja	ORG	ORG-European-Commission
715	728	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
786	794	Euractiv	Euractiv	PRO	PRO-EURACTIV
797	805	Politico	Politico	PRO	PRO-Politico
807	820	Polskie Radio	Polskie Radio	PRO	PRO-Polish-Radio
