8	18	Morawiecki	Morawiecki	PER	PER-Mateusz-Morawiecki
20	33	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
98	104	Bałtyk	Bałtyk	LOC	LOC-Baltic-Sea
162	180	Mateusz Morawiecki	Mateusz Morawiecki	PER	PER-Mateusz-Morawiecki
183	196	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
237	245	Die Welt	Die Welt	PRO	PRO-Die-Welt
271	279	Berlinie	Berlin	LOC	GPE-Berlin
300	307	Ukraina	Ukraina	LOC	GPE-Ukraine
376	392	Europy Środkowej	Europa Środkowa	LOC	LOC-Central-Europe
417	432	Gazeta Wyborcza	Gazeta Wyborcza	PRO	PRO-Gazeta-Wyborcza
458	471	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
554	559	Rosja	Rosja	LOC	GPE-Russia
624	637	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
822	828	Europa	Europa	LOC	LOC-Europe
961	974	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
1040	1058	Mateusz Morawiecki	Mateusz Morawiecki	PER	PER-Mateusz-Morawiecki
1073	1081	Die Welt	Die Welt	PRO	PRO-Die-Welt
