0	21	Departament Stanu USA	Departament Stanu USA	ORG	ORG-Department-of-State-USA
23	36	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
80	83	USA	USA	LOC	GPE-USA
110	119	Twitterze	Twitter	PRO	PRO-Twitter
122	135	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
228	233	Rosję	Rosja	LOC	GPE-Russia
342	355	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
425	432	Oudkirk	Oudkirk	PER	PER-Sandra-Oudkirk
449	534	Gospodarka a geopolityka. Nord Stream 2, Ukraina i bezpieczeństwo energetyczne Europy	Gospodarka a geopolityka. Nord Stream 2, Ukraina i bezpieczeństwo energetyczne Europy	EVT	EVT-Economics-vs-geopolitic-Nord-Stream-2-Ukraine-and-Europes-energy-security
550	594	Wilfried Martens Centre for European Studies	Wilfried Martens Centre for European Studies	ORG	ORG-Wilfried-Martens-Centre-for-European-Studies
631	636	Rosji	Rosja	LOC	GPE-Russia
649	662	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
689	696	Ukrainy	Ukraina	LOC	GPE-Ukraine
754	760	Europy	Europa	LOC	LOC-Europe
839	845	Europy	Europa	LOC	LOC-Europe
860	863	USA	USA	LOC	GPE-USA
886	894	Ukrainie	Ukraina	LOC	GPE-Ukraine
1071	1078	Ukrainy	Ukraina	LOC	GPE-Ukraine
1127	1134	Oudkirk	Oudkirk	PER	PER-Sandra-Oudkirk
