0	15	Michał Dworczyk	Michał Dworczyk	PER	PER-Michał-Dworczyk
66	79	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
81	87	Polska	Polska	LOC	GPE-Poland
107	114	Ukraina	Ukraina	LOC	GPE-Ukraine
149	161	Rząd Niemiec	Rząd Niemiec	ORG	ORG-German-Government
170	183	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
316	322	Uniper	Uniper	ORG	ORG-Uniper
325	336	Wintershall	Wintershall	ORG	ORG-Wintershall
352	357	Engie	Engie	ORG	ORG-Engie
370	373	OMV	OMV	ORG	ORG-OMV
398	415	Royal Dutch Shell	Royal Dutch Shell	ORG	ORG-Royal-Dutch-Shell-BG-Group
439	445	Polska	Polska	LOC	GPE-Poland
491	499	Berlinie	Berlin	LOC	GPE-Berlin
527	540	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
600	608	TVP Info	TVP Info	PRO	PRO-TVP-Info
635	641	Polski	Polska	LOC	GPE-Poland
644	651	Niemiec	Niemcy	LOC	GPE-Germany
672	685	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
687	693	Polska	Polska	LOC	GPE-Poland
713	720	Ukraina	Ukraina	LOC	GPE-Ukraine
755	767	Rząd Niemiec	Rząd Niemiec	ORG	ORG-German-Government
776	789	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
922	928	Uniper	Uniper	ORG	ORG-Uniper
931	942	Wintershall	Wintershall	ORG	ORG-Wintershall
958	963	Engie	Engie	ORG	ORG-Engie
976	979	OMV	OMV	ORG	ORG-OMV
1004	1021	Royal Dutch Shell	Royal Dutch Shell	ORG	ORG-Royal-Dutch-Shell-BG-Group
1173	1186	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
1399	1402	USA	USA	LOC	GPE-USA
1403	1416	Rex Tillerson	Rex Tillerson	PER	PER-Rex-Tillerson
1444	1450	Polsce	Polska	LOC	GPE-Poland
1513	1519	Niemcy	Niemcy	LOC	GPE-Germany
1648	1654	Polska	Polska	LOC	GPE-Poland
1701	1709	Berlinie	Berlin	LOC	GPE-Berlin
1738	1751	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
1964	1977	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
