0	2	KE	KE	ORG	ORG-European-Commission
25	32	Europie	Europa	LOC	LOC-Europe
42	47	Rosji	Rosja	LOC	GPE-Russia
54	67	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
69	87	Komisja Europejska	Komisja Europejska	ORG	ORG-European-Commission
155	168	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
185	202	Unii Europejskiej	Unia Europejska	ORG	ORG-European-Union
229	234	Rosji	Rosja	LOC	GPE-Russia
300	307	Ukrainy	Ukraina	LOC	GPE-Ukraine
309	316	Komisja	Komisja	ORG	ORG-European-Commission
426	443	Unii Europejskiej	Unia Europejska	ORG	ORG-European-Union
513	518	Rosji	Rosja	LOC	GPE-Russia
522	529	Niemiec	Niemcy	LOC	GPE-Germany
539	552	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
608	614	Moskwy	Moskwa	LOC	GPE-Moscow
657	664	Ukrainę	Ukraina	LOC	GPE-Ukraine
673	680	Komisji	Komisja	ORG	ORG-European-Commission
736	743	Europie	Europa	LOC	LOC-Europe
786	791	Rosji	Rosja	LOC	GPE-Russia
859	881	Bohdana Chmielnickiego	Bohdan Chmielnicki	PER	PER-Bohdan-Chmielnicki
883	890	Komisja	Komisja	ORG	ORG-European-Commission
921	929	Rosjanie	Rosjanie	PER	GPE-Russia
984	991	Niemiec	Niemcy	LOC	GPE-Germany
1076	1089	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
1150	1167	Unii Europejskiej	Unia Europejska	ORG	ORG-European-Union
1234	1241	Ukrainy	Ukraina	LOC	GPE-Ukraine
1245	1258	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
1393	1418	Europą Północno-Zachodnią	Europa Północno-Zachodnia	LOC	LOC-Northen-Western-Europe
1421	1446	Europą Środkowo-Wschodnią	Europa Środkowo-Wschodnia	LOC	LOC-Central-Eastern-Europe
1526	1539	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
1575	1580	Rosji	Rosja	LOC	GPE-Russia
1596	1609	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
1656	1663	Ukrainy	Ukraina	LOC	GPE-Ukraine
1684	1692	Naftogaz	Naftogaz	ORG	ORG-Naftogaz
1718	1734	Wojciech Jakóbik	Wojciech Jakóbik	PER	PER-Wojciech-Jakóbik
