30	44	Nord Stream II	Nord Stream II	PRO	PRO-Blue-Stream
49	56	Украины	Украина	LOC	GPE-Ukraine
67	73	REGNUM	REGNUM	ORG	ORG-REGNUM-News-Agency
77	84	Украине	Украина	LOC	GPE-Ukraine
147	165	Северного потока-2	Северный поток-2	PRO	PRO-Nord-Stream-2
253	259	Кремля	Кремль	LOC	LOC-Kremlin
307	314	Украины	Украина	LOC	GPE-Ukraine
428	446	Северного потока-2	Северный поток-2	PRO	PRO-Nord-Stream-2
449	465	Турецкого потока	Турецкий поток	PRO	PRO-Turkish-Stream
479	483	Рады	Рада	ORG	ORG-Verkhovna-Rada
484	498	Андрей Парубий	Андрей Парубий	PER	PER-Andriy-Parubiy
632	648	Северный поток-2	Северный поток-2	PRO	PRO-Nord-Stream-2
738	740	РФ	РФ	LOC	GPE-Russia
744	751	Украину	Украина	LOC	GPE-Ukraine
786	792	Россию	Россия	LOC	GPE-Russia
824	831	Украину	Украина	LOC	GPE-Ukraine
1013	1018	Литвы	Литва	LOC	GPE-Lithuania
1020	1026	Латвии	Латвия	LOC	GPE-Latvia
1028	1035	Эстонии	Эстония	LOC	GPE-Estonia
1037	1044	Молдовы	Молдова	LOC	GPE-Moldova
1046	1052	Польши	Польша	LOC	GPE-Poland
1185	1192	Украины	Украина	LOC	GPE-Ukraine
1230	1237	Украины	Украина	LOC	GPE-Ukraine
1325	1343	Северного потока-2	Северный поток-2	PRO	PRO-Nord-Stream-2
1348	1354	России	Россия	LOC	GPE-Russia
1442	1449	Украины	Украина	LOC	GPE-Ukraine
1458	1465	Парубий	Парубий	PER	PER-Andriy-Parubiy
1533	1547	Народный фронт	Народный фронт	ORG	ORG-All-Russia-Peoples-Front
1548	1561	Максим Бурбак	Максим Бурбак	PER	PER-Maksym-Burbak
1590	1593	США	США	LOC	GPE-USA
1688	1706	Северного потока-2	Северный поток-2	PRO	PRO-Nord-Stream-2
1761	1779	Северного потока-2	Северный поток-2	PRO	PRO-Nord-Stream-2
1797	1804	Украины	Украина	LOC	GPE-Ukraine
1844	1852	Газпроме	Газпром	ORG	ORG-Gazprom
1934	1940	Европы	Европа	LOC	LOC-Europe
1941	1957	Северный поток-2	Северный поток-2	PRO	PRO-Nord-Stream-2
2063	2071	Газпрома	Газпрома	ORG	ORG-Gazprom
2072	2084	Норд стрим-2	Норд стрим-2	PRO	PRO-Nord-Stream-2
2154	2160	Европы	Европа	LOC	LOC-Europe
2185	2192	Газпром	Газпром	ORG	ORG-Gazprom
2248	2254	Европы	Европа	LOC	LOC-Europe
2263	2269	Бурбак	Бурбак	PER	PER-Maksym-Burbak
2333	2348	Петра Порошенко	Петр Порошенко	PER	PER-Petro-Poroshenko
2365	2372	Украины	Украина	LOC	GPE-Ukraine
2401	2414	Еврокомиссией	Еврокомиссия	ORG	ORG-European-Commission
2428	2446	Северного потока-2	Северный поток-2	PRO	PRO-Nord-Stream-2
2513	2522	Газпромом	Газпром	ORG	ORG-Gazprom
2541	2547	Кремля	Кремль	LOC	LOC-Kremlin
2617	2632	Арсения Яценюка	Арсений Яценюк	PER	PER-Arseniy-Yatsenyuk
2660	2669	Газпромом	Газпром	ORG	ORG-Gazprom
2709	2716	Украины	Украина	LOC	GPE-Ukraine
2775	2781	Бурбак	Бурбак	PER	PER-Maksym-Burbak
2820	2835	Петра Порошенко	Петр Порошенко	PER	PER-Petro-Poroshenko
2836	2851	Артур Герасимов	Артур Герасимов	PER	PER-Arthur-Gerasimov
2911	2913	ЕС	ЕС	ORG	ORG-European-Union
2988	3006	Северного потока-2	Северный поток-2	PRO	PRO-Nord-Stream-2
3078	3085	Украины	Украина	LOC	GPE-Ukraine
3108	3111	БПП	БПП	ORG	ORG-Petro-Poroshenko-Solidarity-Party
