19	26	Украину	Украина	LOC	GPE-Ukraine
64	80	Северного потока	Северный поток	PRO	PRO-Nord-Stream-2
128	135	Украину	Украина	LOC	GPE-Ukraine
185	199	Северный поток	Северный поток	PRO	PRO-Nord-Stream-2
361	369	Eustream	Eustream	ORG	ORG-Eustream
383	399	Северного потока	Северного поток	PRO	PRO-Nord-Stream-2
401	415	Nord Stream AG	Nord Stream AG	ORG	ORG-Nord-Stream-AG
499	509	Норд Стрим	Норд Стрим	PRO	PRO-Nord-Stream-2
666	680	Nord Stream AG	Nord Stream AG	ORG	ORG-Nord-Stream-AG
704	715	Nord Stream	Nord Stream	ORG	ORG-Nord-Stream-2-AG
753	769	Северного потока	Северный поток	PRO	PRO-Nord-Stream-2
883	890	Украины	Украина	LOC	GPE-Ukraine
985	1001	Северного потока	Северный поток	PRO	PRO-Nord-Stream-2
1016	1024	Eustream	Eustream	ORG	ORG-Eustream
1144	1159	Вельке Капушаны	Вельке Капушаны	LOC	GPE-Velke-Kapusany
1205	1214	Словакией	Словакией	LOC	GPE-Slovakia
1217	1225	Украиной	Украиной	LOC	GPE-Ukraine
