8	16	Германии	Германия	LOC	GPE-Germany
30	46	Балтийского моря	Балтийское море	LOC	LOC-Baltic-Sea
93	109	Северный поток-2	Северный поток-2	PRO	PRO-Nord-Stream-2
123	133	Норд Стрим	Норд Стрим	ORG	ORG-Nord-Stream-AG
210	216	Лубмин	Лубмин	LOC	GPE-Lubmin
270	276	Берлин	Берлин	LOC	GPE-Berlin
351	360	Финляндия	Финляндия	LOC	GPE-Finland
408	414	Швеция	Швеция	LOC	GPE-Sweden
417	422	Дания	Дания	LOC	GPE-Denmark
452	462	Норд Стрим	Норд Стрим	ORG	ORG-Nord-Stream-AG
539	545	Лубмин	Лубмин	LOC	GPE-Lubmin
599	605	Берлин	Берлин	LOC	GPE-Berlin
680	689	Финляндия	Финляндия	LOC	GPE-Finland
737	743	Швеция	Швеция	LOC	GPE-Sweden
746	751	Дания	Дания	LOC	GPE-Denmark
754	770	Северный поток-2	Северный поток-2	PRO	PRO-Nord-Stream-2
787	803	Балтийского моря	Балтийское море	LOC	LOC-Baltic-Sea
