0	30	Frankfurter Allgemeine Zeitung	Frankfurter Allgemeine Zeitung	PRO	PRO-Frankfurter-Allgemeine-Zeitung
32	40	Германия	Германия	LOC	GPE-Germany
71	91	Северного потока — 2	Северный поток — 2	PRO	PRO-Nord-Stream-2
123	139	Отто Лухтерхандт	Отто Лухтерхандт	PER	PER-Otto-Luchterhandt
141	158	Otto Luchterhandt	Otto Luchterhandt	PER	PER-Otto-Luchterhandt
190	195	Трамп	Трамп	PER	PER-Donald-Trump
212	269	О противодействии противникам Америки посредством санкций	О противодействии противникам Америки посредством санкций	PRO	PRO-Countering-Americas-Adversaries-Through-Sanctions-Act
334	348	Северной Кореи	Северная Корея	LOC	GPE-North-Korea
350	356	России	Россия	LOC	GPE-Russia
359	364	Ирана	Иран	LOC	GPE-Iran
709	715	Трампу	Трамп	PER	PER-Donald-Trump
789	796	Россией	Россия	LOC	GPE-Russia
855	861	России	Россия	LOC	GPE-Russia
1087	1099	Еврокомиссии	Еврокомиссия	ORG	ORG-European-Commission
1102	1127	Федеральном правительстве	Федеральное правительство	ORG	ORG-The-Government-of-Russia
1141	1149	Конгресс	Конгресс	ORG	ORG-United-States-Congress
1212	1218	России	Россия	LOC	GPE-Russia
1244	1249	Крыма	Крым	LOC	GPE-Crimea
1268	1275	Украины	Украина	LOC	GPE-Ukraine
1294	1299	Асада	Асад	PER	PER-Bashar-al-Assad
1302	1307	Сирии	Сирия	LOC	GPE-Syria
1410	1428	Соединенных Штатах	Соединенные Штаты	LOC	GPE-USA
1431	1437	Европе	Европа	LOC	LOC-Europe
1508	1510	ЕС	ЕС	ORG	ORG-European-Union
1608	1613	Обама	Обама	PER	PER-Barack-Obama
1825	1832	Россией	Россия	LOC	GPE-Russia
2143	2149	России	Россия	LOC	GPE-Russia
2239	2257	Соединенных Штатах	Соединенные Штаты	LOC	GPE-USA
2517	2525	Германии	Германия	LOC	GPE-Germany
2543	2545	ЕС	ЕС	ORG	ORG-European-Union
2641	2661	Северного потока — 2	Северный поток — 2	PRO	PRO-Nord-Stream-2
2757	2775	Северный поток — 1	Северный поток — 1	PRO	PRO-Nord-Stream-1
2840	2855	Баренцевом море	Баренцево море	LOC	LOC-The-Barents-Sea
2930	2937	Выборга	Выборг	LOC	GPE-Vyborg
2964	2983	Ботнического залива	Ботнический залив	LOC	LOC-Gulf-of-Bothnia
2991	3006	Балтийское море	Балтийское море	LOC	LOC-Baltic-Sea
3009	3015	Любмин	Любмин	LOC	GPE-Lubmin
3020	3033	Грайфсвальдом	Грайфсвальд	LOC	GPE-Greifswald
3299	3319	Северному потоку — 1	Северный поток — 1	PRO	PRO-Nord-Stream-1
3332	3347	Норд Стрим 2 АГ	Норд Стрим 2 АГ	ORG	ORG-Nord-Stream-2-AG
3350	3366	Nord Stream 2 AG	Nord Stream 2 AG	ORG	ORG-Nord-Stream-2-AG
3396	3405	Швейцарии	Швейцария	LOC	GPE-Switzerland
3439	3446	Газпром	Газпром	ORG	ORG-Gazprom
3466	3474	Германии	Германия	LOC	GPE-Germany
3504	3520	Северного потока	Северный поток	PRO	PRO-Nord-Stream-2
3593	3611	Центральную Европу	Центральная Европа	LOC	LOC-Central-Europe
3693	3707	Северный поток	Северный поток	PRO	PRO-Nord-Stream-2
3758	3760	ЕС	ЕС	ORG	ORG-European-Union
3860	3880	Соединенными Штатами	Соединенные Штаты	LOC	GPE-USA
3883	3885	ЕС	ЕС	ORG	ORG-European-Union
4018	4038	Северного потока — 2	Северный поток — 2	PRO	PRO-Nord-Stream-2
4171	4173	ЕС	ЕС	ORG	ORG-European-Union
4279	4282	США	США	LOC	GPE-USA
4467	4474	Америке	Америка	LOC	GPE-USA
4515	4529	Госдепартамент	Госдепартамент	ORG	ORG-Department-of-State-USA
4605	4623	Северный поток — 2	Северный поток — 2	PRO	PRO-Nord-Stream-2
4690	4704	Госдепартамент	Госдепартамент	ORG	ORG-Department-of-State-USA
5004	5006	ЕС	ЕС	ORG	ORG-European-Union
