0	5	Росія	Росія	LOC	GPE-Russia
26	43	Північний потік-2	Північний потік-2	ORG	ORG-Nord-Stream-2-AG
62	77	Північний потік	Північний потік	ORG	ORG-Nord-Stream-AG
89	94	Росію	Росія	LOC	GPE-Russia
98	107	Німеччину	Німеччина	LOC	GPE-Germany
116	123	України	Україна	LOC	GPE-Ukraine
125	130	Росія	Росія	LOC	GPE-Russia
163	182	Північного потоку-2	Північний потік-2	ORG	ORG-Nord-Stream-2-AG
208	211	США	США	LOC	GPE-USA
304	317	Nord Stream 2	Nord Stream 2	ORG	ORG-Nord-Stream-2-AG
318	330	Пол Коркоран	Пол Коркоран	PER	PER-Paul-Corcoran
344	359	Welt am Sonntag	Welt am Sonntag	ORG	ORG-Welt-am-Sonntag
416	424	Газпрому	Газпром	ORG	ORG-Gazprom
429	434	Росія	Росія	LOC	GPE-Russia
550	558	Коркоран	Коркоран	PER	PER-Paul-Corcoran
575	583	Нафтогаз	Нафтогаз	ORG	ORG-Naftogaz
630	638	Газпрому	Газпром	ORG	ORG-Gazprom
640	648	Газпрому	Газпром	ORG	ORG-Gazprom
757	766	Усть-Лугу	Усть-Луга	LOC	GPE-Ust-Luga
779	790	Грайфсвальд	Грайфсвальд	LOC	GPE-Greifswald
