7	14	Putinův	Putin	PER	PER-Vladimir-Putin
47	56	Medvedčuk	Medvedčuk	PER	PER-Victor-Medvedchuk
59	82	Ukrajinská tajná služba	Ukrajinská tajná služba	ORG	ORG-Hygienicka-sluzba-CR
83	86	SBU	SBU	ORG	ORG-Security-Service-Ukraine
164	182	Viktora Medvedčuka	Viktor Medvedčuk	PER	PER-Victor-Medvedchuk
292	311	Volodymyr Zelenskyj	Volodymyr Zelenskyj	PER	PER-Volodymyr-Zelensky
375	383	Medvečuk	Medvečuk	PER	PER-Victor-Medvedchuk
425	433	Putinovi	Putin	PER	PER-Vladimir-Putin
550	558	Chorvati	Chorvati	PER	GPE-Croatia
593	602	Zelenskyj	Zelenskyj	PER	PER-Volodymyr-Zelensky
643	659	Viktor Medvedčuk	Viktor Medvedčuk	PER	PER-Victor-Medvedchuk
694	702	Ukrajině	Ukrajina	LOC	GPE-Ukraine
733	739	Forbes	Forbes	PRO	PRO-Forbes
842	848	Moskvu	Moskva	LOC	GPE-Moscow
882	887	Putin	Putin	PER	PER-Vladimir-Putin
977	987	Medvedčuka	Medvedčuk	PER	PER-Victor-Medvedchuk
1071	1081	Chorvatsku	Chorvatsko	LOC	GPE-Croatia
1110	1123	Royal Romance	Royal Romance	PRO	PRO-Royal-Romance-Yacht
1166	1179	SuperyachtFan	SuperyachtFan	PRO	PRO-Superyachtfan-website
